municipality,SSN,average_d_cultural,average_d_naloxone,average_d_syringe,ndvi
absecon city,101,0.591184919324948,0.292949413741979,1.40387898510272,0.478287703280979
atlantic city,102,0.565905519048228,0.410166354176349,0.725342001079877,0.293692125291091
brigantine city,103,0.494027423335533,0.442488384921296,1.38862215049442,0.318956895815093
buena boro,104,0.731562379308845,1.0622831371387,9.20704270591899,0.532303381990132
buena vista twp,105,0.552113919543463,0.480498436923694,2.9887868970794,0.640182868109809
corbin city,106,0.336392450972019,0.184559342931477,0.545475989688689,0.567856465076265
egg harbor city,107,2.52379595264385,0.891275256409103,4.07193488283184,0.707151844443044
egg harbor twp,108,1.16591439778985,0.399012744116108,2.06702124895849,0.582609439958845
estell manor city,109,1.65779253073319,0.908877631365255,2.67176698984025,0.718746851439576
folsom boro,110,0.504557877535133,0.679092463105679,3.73692127554911,0.642353404017857
galloway twp,111,1.47106965251993,0.860475667780228,3.80855969584623,0.504206129064857
hamilton twp,112,3.19029018499758,1.03126693784366,5.78668726979344,0.681181185613083
hammonton town,113,1.15430016491583,1.09067344254039,10.9506083791707,0.573218451831959
linwood city,114,1.25351314835025,0.38048813912035,2.75650074013617,0.593325328480114
longport boro,115,0.038790511837491,0.0357123844837247,0.144647755806488,0.049046423339844
margate city,116,0.442150196405847,0.299888166712858,2.92646297618182,0.363928564453125
mullica twp,117,0.990935106096924,0.801329167245721,3.05678680052599,0.689934589709974
northfield city,118,1.71184056407371,0.312219506601835,3.38115815735398,0.58910072265625
pleasantville city,119,1.21349559765921,0.253878924126662,1.79668047353498,0.442472556666324
port republic city,120,0.175273904613427,0.0954650180105172,0.361404101756199,0.636619387090774
somers point city,121,1.17574410138322,0.321720146865357,3.48146662776473,0.480904167683919
ventnor city,122,0.644835992716584,0.162897182390227,1.2432881288662,0.407063102213542
weymouth twp,123,0.30556107400574,0.16689639950933,0.49137726777472,0.711260270690918
allendale boro,201,0.400635114111923,0.0530936829111979,1.16149832187585,0.693766322544643
alpine boro,202,0.356673132050067,0.334689678988017,2.12329635264318,0.706313385009766
bergenfield boro,203,0.698636202875573,0.168637905323459,2.90642760296217,0.521418366350446
bogota boro,204,0.231581237410571,0.104629541783676,2.01968337222792,0.352764282226562
carlstadt boro,205,0.25116238617381,0.251667242878354,0.879411223158558,0.366883571777344
cliffside park boro,206,0.819255486346654,0.124681568563431,2.92875744308574,0.339457145182292
closter boro,207,0.302593573001646,0.155931260762308,2.70094612265568,0.642822326660156
cresskill boro,208,0.181331918448094,0.0223644888122139,1.48033017406626,0.54516904296875
demarest boro,209,0.0494881392868031,0.143197528218332,1.52787970510717,0.588434521484375
dumont boro,210,0.561573855314319,0.0937413888130742,2.5770506041203,0.547392858886719
elmwood park boro,211,0.775050602483434,0.170961788743106,0.806073930371646,0.356174606662326
east rutherford boro,212,0.328030275080523,0.187411472468802,1.19151046442853,0.374888094075521
edgewater boro,213,0.494523080649938,0.124822626701069,1.89170971612979,0.351021427408854
emerson boro,214,0.0785188030233106,0.105707996731182,0.810844989720996,0.575695239257813
englewood city,215,0.48949113817012,0.27811805312256,4.00959399076869,0.594013739483173
englewood cliffs boro,216,0.0672804096570834,0.248722713762493,1.64633535252714,0.6299728515625
fair lawn boro,217,0.565604084206933,0.192601452834924,0.863023279159706,0.445157690429688
fairview boro,218,0.356586706213059,0.0570951876030903,1.66437993838388,0.357210717773437
fort lee boro,219,0.805552136872554,0.168761552388165,4.97294324338269,0.431845247395833
franklin lakes boro,220,0.79744559653805,0.357215971465003,1.28570115207683,0.696688626663773
garfield city,221,0.325038966014891,0.126387334392907,1.25911232916831,0.28386142578125
glen rock boro,222,0.370470513784464,0.0967237556171109,0.686507681692698,0.539352861328125
hackensack city,223,0.327866329099859,0.150335529557703,2.31030757093875,0.380944160600142
harrington park boro,224,0.394010460594846,0.233598860313923,1.73784229439203,0.685161897786458
hasbrouck heights boro,225,0.30948402777022,0.0647271370679365,1.44263728259242,0.388888094075521
haworth boro,226,0.342461775277996,0.282475599892366,1.76438431352022,0.641410205078125
hillsdale boro,227,0.546267522136042,0.137817822096317,1.53857138968233,0.577857139756944
ho-ho-kus boro,228,0.449040912601389,0.183787210607359,0.809545120573402,0.54037572265625
leonia boro,229,0.0774934468978935,0.0600204684709578,1.72650370427907,0.517542846679688
little ferry boro,230,0.32244801262521,0.288001748946387,2.54043932117433,0.35434857421875
lodi boro,231,0.517536395076728,0.101782702161021,1.36368431984192,0.337519995117187
lyndhurst twp,232,0.465194346268722,0.222485471593802,1.7865290386539,0.429789288330078
mahwah twp,233,0.713203934341048,0.584464907944876,4.33494683158693,0.73960220229205
maywood boro,234,0.695901833746407,0.24954079545105,1.85110506262145,0.414125712890625
midland park boro,235,0.415934588997301,0.100040770233087,0.779140144878609,0.628474991861979
montvale boro,236,0.376416912434157,0.0970113228065013,1.812453443535,0.572435715060764
moonachie boro,237,0.151257853223982,0.235338401992545,1.18109047660437,0.401569051106771
new milford boro,238,0.575214469612743,0.108578589169769,2.19678054165094,0.542781435546875
north arlington boro,239,0.699006985711885,0.17068580513985,1.20149592183791,0.388420235188802
northvale boro,240,0.630760045879121,0.0800864985398181,2.33611827962798,0.642509537760417
norwood boro,241,0.358313313984295,0.193497602281607,1.74747074329852,0.659820532226562
oakland boro,242,1.49177969796203,0.282120095604965,2.65603904789921,0.711990132068452
old tappan boro,243,0.69191348443875,0.30402090060826,1.86199060527944,0.606328569335937
oradell boro,244,0.141968745158679,0.0845968687625893,1.38639694155615,0.57366904296875
palisades park boro,245,0.486913642802494,0.149699961108434,3.38095995305199,0.415723803710937
paramus boro,246,0.42581534244449,0.38596580782277,1.32207100248679,0.519913055630388
park ridge boro,247,1.03237566233905,0.243384492075108,3.35668966626223,0.572628578404018
ramsey boro,248,0.825013965579244,0.211636382620362,3.6386719563485,0.691089049479167
ridgefield boro,249,0.36610276996815,0.154350808471698,1.27007045616312,0.399847963169643
ridgefield park village,250,0.416091797544789,0.134785611698381,2.4778018048434,0.405156124441964
ridgewood village,251,0.728393805236836,0.215229289840777,1.46142940073016,0.560666666666667
river edge boro,252,0.389769443130245,0.107345478958125,1.11525876096548,0.527944051106771
river vale twp,253,0.773555575898938,0.161282798149397,2.27231243707978,0.6502875
rochelle park twp,254,0.372078215355962,0.06135761885372,0.557998560417164,0.398207137044271
rockleigh boro,255,0.495734491423592,0.0649723121060973,1.84353418537718,0.627038102213542
rutherford boro,256,0.381805856218666,0.232004136467494,2.25944086180768,0.404130355834961
saddle brook twp,257,0.517536361692394,0.0793533600195889,0.771822516124812,0.358408164760045
saddle river boro,258,0.274431741238482,0.203829588240922,1.02604903227494,0.662528098958333
south hackensack twp,259,0.0289772755991682,0.0201803912385737,0.254338102773655,0.290235709635417
teaneck twp,260,0.311183135491247,0.12636287705073,2.36492958994354,0.516866194661458
tenafly boro,261,0.308839914101221,0.240202635147893,2.95742752623276,0.582826620205966
teterboro boro,262,0.0766887393341201,0.0588853672456075,1.09028028342267,0.322689282226562
upper saddle river boro,263,0.0691802799357392,0.236804591989171,1.49911566288578,0.64289560171274
waldwick boro,264,1.00265824741759,0.114061987846601,1.92078994396832,0.61202142578125
wallington boro,265,0.641153108208196,0.21995034821404,1.7240372068439,0.289152384440104
washington twp,266,0.599134618595821,0.123011343940523,1.73622553253499,0.546294900948661
westwood boro,267,0.467493589788082,0.157050890098951,2.29551514437504,0.543922615559896
woodcliff lake boro,268,0.349640352529845,0.160015178337558,1.09977581784672,0.625970532226563
wood-ridge boro,269,0.208503251399971,0.0269573514648801,0.674428121736924,0.357346429443359
wyckoff twp,270,0.91154144521816,0.151273664619015,1.73393721252441,0.686819647216797
bass river twp,301,0.69342336555865,0.681109019516661,1.46839989764457,0.652156552466416
beverly city,302,2.42766456764713,0.370043936393881,4.30959512282423,0.457642846679688
bordentown city,303,0.0682889584418466,0.0689336018420457,1.71884505112525,0.663853564453125
bordentown twp,304,0.303679302008207,0.161113651925727,1.56693054185401,0.641241304347826
burlington city,305,2.92958505894671,0.374894872530125,6.33666773878614,0.47048571234809
burlington twp,306,1.22189143950352,0.210110301480869,3.06423021437322,0.557078954418285
chesterfield twp,307,0.828613052571437,0.691557035126723,2.36540795944286,0.681536332334321
cinnaminson twp,308,1.06370292745119,0.224584021375398,2.70875389305015,0.51377340766059
delanco twp,309,0.8848559458795,0.269138546245703,1.76733422666547,0.511026624644886
delran twp,310,0.979942572489564,0.198828807090075,2.65144739431672,0.534007541232639
eastampton twp,311,0.199239332449805,0.230231087192776,1.78630186986086,0.669070977783203
edgewater park twp,312,1.80794817097868,0.160299759173969,3.38423313581955,0.593451025390625
evesham twp,313,0.773615978910821,0.484765530967839,5.07352082226608,0.652798190104167
fieldsboro boro,314,0.0573153224119905,0.0510493001072233,0.40481538678025,0.563264306640625
florence twp,315,0.517647889411459,0.376443226475319,3.13174915938206,0.562458788123498
hainesport twp,316,0.30088788693517,0.0641625792886668,1.65758536515583,0.654277854003906
lumberton twp,317,0.475128301374943,0.35280558164838,4.431253200985,0.618621877288818
mansfield twp,318,1.08237855317653,1.08599322551815,3.17357790573845,0.645545841619318
maple shade twp,319,0.964436240878971,0.466461748646241,2.86012088581997,0.507717260742187
medford twp,320,0.590496103515489,0.345835931360787,3.72993418200759,0.710412503286508
medford lakes boro,321,0.941195695897503,0.062019439522997,5.11764679960616,0.606828564453125
