,name,label,concept
1,PUMA5,Geography,NA
2,S0101_C01_001,Estimate!!Total!!Total population,AGE AND SEX
3,S0101_C01_002,Estimate!!Total!!Total population!!AGE!!Under 5 years,AGE AND SEX
4,S0101_C01_003,Estimate!!Total!!Total population!!AGE!!5 to 9 years,AGE AND SEX
5,S0101_C01_004,Estimate!!Total!!Total population!!AGE!!10 to 14 years,AGE AND SEX
6,S0101_C01_005,Estimate!!Total!!Total population!!AGE!!15 to 19 years,AGE AND SEX
7,S0101_C01_006,Estimate!!Total!!Total population!!AGE!!20 to 24 years,AGE AND SEX
8,S0101_C01_007,Estimate!!Total!!Total population!!AGE!!25 to 29 years,AGE AND SEX
9,S0101_C01_008,Estimate!!Total!!Total population!!AGE!!30 to 34 years,AGE AND SEX
10,S0101_C01_009,Estimate!!Total!!Total population!!AGE!!35 to 39 years,AGE AND SEX
11,S0101_C01_010,Estimate!!Total!!Total population!!AGE!!40 to 44 years,AGE AND SEX
12,S0101_C01_011,Estimate!!Total!!Total population!!AGE!!45 to 49 years,AGE AND SEX
13,S0101_C01_012,Estimate!!Total!!Total population!!AGE!!50 to 54 years,AGE AND SEX
14,S0101_C01_013,Estimate!!Total!!Total population!!AGE!!55 to 59 years,AGE AND SEX
15,S0101_C01_014,Estimate!!Total!!Total population!!AGE!!60 to 64 years,AGE AND SEX
16,S0101_C01_015,Estimate!!Total!!Total population!!AGE!!65 to 69 years,AGE AND SEX
17,S0101_C01_016,Estimate!!Total!!Total population!!AGE!!70 to 74 years,AGE AND SEX
18,S0101_C01_017,Estimate!!Total!!Total population!!AGE!!75 to 79 years,AGE AND SEX
19,S0101_C01_018,Estimate!!Total!!Total population!!AGE!!80 to 84 years,AGE AND SEX
20,S0101_C01_019,Estimate!!Total!!Total population!!AGE!!85 years and over,AGE AND SEX
21,S0101_C01_020,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,AGE AND SEX
22,S0101_C01_021,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,AGE AND SEX
23,S0101_C01_022,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years,AGE AND SEX
24,S0101_C01_023,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,AGE AND SEX
25,S0101_C01_024,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years,AGE AND SEX
26,S0101_C01_025,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!16 years and over,AGE AND SEX
27,S0101_C01_026,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!18 years and over,AGE AND SEX
28,S0101_C01_027,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!21 years and over,AGE AND SEX
29,S0101_C01_028,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!60 years and over,AGE AND SEX
30,S0101_C01_029,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!62 years and over,AGE AND SEX
31,S0101_C01_030,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,AGE AND SEX
32,S0101_C01_031,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!75 years and over,AGE AND SEX
33,S0101_C01_032,Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years),AGE AND SEX
34,S0101_C01_033,Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females),AGE AND SEX
35,S0101_C01_034,Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Age dependency ratio,AGE AND SEX
36,S0101_C01_035,Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio,AGE AND SEX
37,S0101_C01_036,Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Child dependency ratio,AGE AND SEX
38,S0101_C01_037,Estimate!!Total!!PERCENT ALLOCATED!!Sex,AGE AND SEX
39,S0101_C01_038,Estimate!!Total!!PERCENT ALLOCATED!!Age,AGE AND SEX
40,S0101_C02_001,Estimate!!Percent!!Total population,AGE AND SEX
41,S0101_C02_002,Estimate!!Percent!!Total population!!AGE!!Under 5 years,AGE AND SEX
42,S0101_C02_003,Estimate!!Percent!!Total population!!AGE!!5 to 9 years,AGE AND SEX
43,S0101_C02_004,Estimate!!Percent!!Total population!!AGE!!10 to 14 years,AGE AND SEX
44,S0101_C02_005,Estimate!!Percent!!Total population!!AGE!!15 to 19 years,AGE AND SEX
45,S0101_C02_006,Estimate!!Percent!!Total population!!AGE!!20 to 24 years,AGE AND SEX
46,S0101_C02_007,Estimate!!Percent!!Total population!!AGE!!25 to 29 years,AGE AND SEX
47,S0101_C02_008,Estimate!!Percent!!Total population!!AGE!!30 to 34 years,AGE AND SEX
48,S0101_C02_009,Estimate!!Percent!!Total population!!AGE!!35 to 39 years,AGE AND SEX
49,S0101_C02_010,Estimate!!Percent!!Total population!!AGE!!40 to 44 years,AGE AND SEX
50,S0101_C02_011,Estimate!!Percent!!Total population!!AGE!!45 to 49 years,AGE AND SEX
51,S0101_C02_012,Estimate!!Percent!!Total population!!AGE!!50 to 54 years,AGE AND SEX
52,S0101_C02_013,Estimate!!Percent!!Total population!!AGE!!55 to 59 years,AGE AND SEX
53,S0101_C02_014,Estimate!!Percent!!Total population!!AGE!!60 to 64 years,AGE AND SEX
54,S0101_C02_015,Estimate!!Percent!!Total population!!AGE!!65 to 69 years,AGE AND SEX
55,S0101_C02_016,Estimate!!Percent!!Total population!!AGE!!70 to 74 years,AGE AND SEX
56,S0101_C02_017,Estimate!!Percent!!Total population!!AGE!!75 to 79 years,AGE AND SEX
57,S0101_C02_018,Estimate!!Percent!!Total population!!AGE!!80 to 84 years,AGE AND SEX
58,S0101_C02_019,Estimate!!Percent!!Total population!!AGE!!85 years and over,AGE AND SEX
59,S0101_C02_020,Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,AGE AND SEX
60,S0101_C02_021,Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,AGE AND SEX
61,S0101_C02_022,Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years,AGE AND SEX
62,S0101_C02_023,Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,AGE AND SEX
63,S0101_C02_024,Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years,AGE AND SEX
64,S0101_C02_025,Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!16 years and over,AGE AND SEX
65,S0101_C02_026,Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!18 years and over,AGE AND SEX
66,S0101_C02_027,Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!21 years and over,AGE AND SEX
67,S0101_C02_028,Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!60 years and over,AGE AND SEX
68,S0101_C02_029,Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!62 years and over,AGE AND SEX
69,S0101_C02_030,Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,AGE AND SEX
70,S0101_C02_031,Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!75 years and over,AGE AND SEX
71,S0101_C02_032,Estimate!!Percent!!Total population!!SUMMARY INDICATORS!!Median age (years),AGE AND SEX
72,S0101_C02_033,Estimate!!Percent!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females),AGE AND SEX
73,S0101_C02_034,Estimate!!Percent!!Total population!!SUMMARY INDICATORS!!Age dependency ratio,AGE AND SEX
74,S0101_C02_035,Estimate!!Percent!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio,AGE AND SEX
75,S0101_C02_036,Estimate!!Percent!!Total population!!SUMMARY INDICATORS!!Child dependency ratio,AGE AND SEX
76,S0101_C02_037,Estimate!!Percent!!PERCENT ALLOCATED!!Sex,AGE AND SEX
77,S0101_C02_038,Estimate!!Percent!!PERCENT ALLOCATED!!Age,AGE AND SEX
78,S0101_C03_001,Estimate!!Male!!Total population,AGE AND SEX
79,S0101_C03_002,Estimate!!Male!!Total population!!AGE!!Under 5 years,AGE AND SEX
80,S0101_C03_003,Estimate!!Male!!Total population!!AGE!!5 to 9 years,AGE AND SEX
81,S0101_C03_004,Estimate!!Male!!Total population!!AGE!!10 to 14 years,AGE AND SEX
82,S0101_C03_005,Estimate!!Male!!Total population!!AGE!!15 to 19 years,AGE AND SEX
83,S0101_C03_006,Estimate!!Male!!Total population!!AGE!!20 to 24 years,AGE AND SEX
84,S0101_C03_007,Estimate!!Male!!Total population!!AGE!!25 to 29 years,AGE AND SEX
85,S0101_C03_008,Estimate!!Male!!Total population!!AGE!!30 to 34 years,AGE AND SEX
86,S0101_C03_009,Estimate!!Male!!Total population!!AGE!!35 to 39 years,AGE AND SEX
87,S0101_C03_010,Estimate!!Male!!Total population!!AGE!!40 to 44 years,AGE AND SEX
88,S0101_C03_011,Estimate!!Male!!Total population!!AGE!!45 to 49 years,AGE AND SEX
89,S0101_C03_012,Estimate!!Male!!Total population!!AGE!!50 to 54 years,AGE AND SEX
90,S0101_C03_013,Estimate!!Male!!Total population!!AGE!!55 to 59 years,AGE AND SEX
91,S0101_C03_014,Estimate!!Male!!Total population!!AGE!!60 to 64 years,AGE AND SEX
92,S0101_C03_015,Estimate!!Male!!Total population!!AGE!!65 to 69 years,AGE AND SEX
93,S0101_C03_016,Estimate!!Male!!Total population!!AGE!!70 to 74 years,AGE AND SEX
94,S0101_C03_017,Estimate!!Male!!Total population!!AGE!!75 to 79 years,AGE AND SEX
95,S0101_C03_018,Estimate!!Male!!Total population!!AGE!!80 to 84 years,AGE AND SEX
96,S0101_C03_019,Estimate!!Male!!Total population!!AGE!!85 years and over,AGE AND SEX
97,S0101_C03_020,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,AGE AND SEX
98,S0101_C03_021,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,AGE AND SEX
99,S0101_C03_022,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years,AGE AND SEX
100,S0101_C03_023,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,AGE AND SEX
101,S0101_C03_024,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years,AGE AND SEX
102,S0101_C03_025,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!16 years and over,AGE AND SEX
