,ID,City.x,Address,Longitude,Latitude,Match.Score,License Type,State,Establishment,Licensee,Effective Date,Inactivity Start Date,Expiration Date,City.y,Premise Address,Mailing Address,is.bar,is.store
1,0101-31-006-001,ABSECON,"560 NEW JERSEY AVENUE  
ABSECON, NJ  08201
USA",-74.5079357710238,39.431839966882,96.67,Club License,Active,AMERICAN LEGION POST 28,CHARLES A HAMMELL POST 28  AMERICAN LEGION,"Jul 01, 2019",NA,"Jun 30, 2020",ABSECON,"560 NEW JERSEY AVENUE  
ABSECON, NJ  08201
USA","PO Box 2018 
ABSECON, NJ  08201
USA",,
2,0101-31-007-001,ABSECON,"433 WHITE HORSE PIKE  
ABSECON, NJ  08201
USA",-74.506671780025,39.4288253315858,96.59,Club License,Active,ABSECON VFM MEMORIAL POST 9462,ABSECON MEMORIAL POST 9462 V F W,"Jul 01, 2019",NA,"Jun 30, 2020",ABSECON,"433 WHITE HORSE PIKE  
ABSECON, NJ  08201
USA","PO Box 136 
ABSECON, NJ  08201
USA",,
3,0101-33-003-004,ABSECON,"5 NO SHORE ROAD  
ABSECON, NJ  08201
USA",-74.4993816197381,39.4239054477884,96.11,Plenary Retail Consumption License,Active,TJS HI POINT PUB,TWJJ LLC,"Jul 01, 2019",NA,"Jun 30, 2020",ABSECON,"5 NO SHORE ROAD  
ABSECON, NJ  08201
USA","5 NO SHORE ROAD  
ABSECON, NJ  08201
USA",1,
4,0101-33-004-008,ABSECON,"308 E WHITE HORSE Pike 
ABSECON, NJ  08201
USA",-74.524684605833,39.4434350240208,95.95,Plenary Retail Consumption License,Active,VILLA RIFICI,OPERATION TREFIGLI LLC,"Jul 01, 2019",NA,"Jun 30, 2020",ABSECON,"308 E WHITE HORSE Pike 
ABSECON, NJ  08201
USA","308 E WHITE HORSE Pike 
ABSECON, NJ  08201
USA",,
5,0101-33-005-003,ABSECON,"1 N SHORE RD  
ABSECON, NJ  08201
USA",-74.4995894071179,39.4237145080342,95.76,Plenary Retail Consumption License,Active,BLACK CAT TAVERN,ROSE AN CORP,"Jul 01, 2019",NA,"Jun 30, 2020",ABSECON,"1 N SHORE RD  
ABSECON, NJ  08201
USA","1 N SHORE RD  
ABSECON, NJ  08201
USA",,
6,0101-44-001-008,ABSECON,"676 WHITE HORSE PIKE UNIT #3  
ABSECON, NJ  08201
USA",-74.5149644159314,39.4346512991167,99.39,Plenary Retail Distribution License,Active,WHITE HORSE WINE & SPIRITS,WHITE HORSE LIQUORS LLC,"Jul 01, 2019",NA,"Jun 30, 2020",ABSECON,"676 WHITE HORSE PIKE UNIT #3  
ABSECON, NJ  08201
USA","676 WHITE HORSE PIKE UNIT #3  
ABSECON, NJ  08201
USA",,1
7,0102-31-267-001,ATLANTIC CITY,"3900 WEST END AVENUE  
ATLANTIC CITY, NJ  08401
USA",-74.464100261435,39.3593549026918,96.86,Club License,Active,ATLANTIC CITY LOYAL ORDER OF MOOSE # 216,ATLANTIC CITY LOYAL ORDER OF MOOSE 216,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"3900 WEST END AVENUE  
ATLANTIC CITY, NJ  08401
USA","3900 WEST END AVENUE  
ATLANTIC CITY, NJ  08401
USA",,
8,0102-32-014-007,ATLANTIC CITY,"160 & 170 SOUTH NEW JERSEY AVENUE 
AND A PORTION OF 801 BOARDWALK
ATLANTIC CITY, NJ  08401
USA",-74.4174423815024,39.3627978399741,94.71,Plenary Retail Consumption License with Broad C,Active,NONE,BEACHVIEW AC HOSPITALITY LLC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"160 & 170 SOUTH NEW JERSEY AVENUE 
AND A PORTION OF 801 BOARDWALK
ATLANTIC CITY, NJ  08401
USA","817 N 3RD STREET 
PHILADELPHIA, PA  19123
USA",,
9,0102-32-015-002,ATLANTIC CITY,"2400 - 2404 ATLANTIC AVENUE  
ATLANTIC CITY, NJ  08401
USA",-74.4408186871748,39.356950721404,96.43,Plenary Retail Consumption License with Broad C,Active,DUCK TOWN TAVERN,DUCKTOWN TAVERN INC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"2400 - 2404 ATLANTIC AVENUE  
ATLANTIC CITY, NJ  08401
USA","2400 - 2404 ATLANTIC AVENUE  
ATLANTIC CITY, NJ  08401
USA",,
10,0102-32-041-007,ATLANTIC CITY,"500 BOARDWALK  
ATLANTIC CITY, NJ  08401
USA",-74.416585012533,39.3628030081106,96.52,Plenary Retail Consumption License with Broad C,Active,"HQ NIGHTCLUB, HQ BEACHCLUB",IDEA BOARDWALK LLC,"Jul 01, 2019","Dec 31, 2016","Jun 30, 2020",ATLANTIC CITY,"500 BOARDWALK  
ATLANTIC CITY, NJ  08401
USA","50 WASHINGTON STREET 
ATLANTIC CITY, NJ  07030
USA",,
