CountyFIPS,County,Agency,Total,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Population,Number of clearances,Year
34001,Atlantic,ABSECON CITY PD,198,1,1,5,10,16,159,6,8252,43,2018
34001,Atlantic,ATLANTIC CITY PD,1457,7,11,131,127,116,994,71,38271,101,2018
34001,Atlantic,ATLANTIC CO SHERIFF'S  OFFICE,0,0,0,0,0,0,0,0,0,0,2018
34001,Atlantic,ATLANTIC COUNTY PROSECUTOR'S OFFICE,0,0,0,0,0,0,0,0,0,0,2018
34001,Atlantic,BRIGANTINE PD,130,0,0,0,1,23,105,1,8896,21,2018
34001,Atlantic,BUENA PD,77,0,0,1,4,13,58,1,4405,9,2018
34001,Atlantic,EGG HARBOR CITY PD,131,0,0,4,5,35,85,2,4162,28,2018
34001,Atlantic,EGG HARBOR TWP PD,964,1,4,10,47,114,765,23,43276,352,2018
34001,Atlantic,GALLOWAY TWP PD,472,0,2,8,63,90,295,14,36467,116,2018
34001,Atlantic,HAMILTON TWP PD,914,2,3,13,39,98,736,23,26380,365,2018
34001,Atlantic,HAMMONTON PD,158,0,0,5,4,30,111,8,14311,37,2018
34001,Atlantic,LINWOOD CITY PD,57,1,0,2,1,12,40,1,6822,12,2018
34001,Atlantic,LONGPORT PD,5,0,0,0,0,0,3,2,873,1,2018
34001,Atlantic,MARGATE PD,144,0,1,1,7,43,92,0,6045,24,2018
34001,Atlantic,MULLICA TWP PD,77,0,0,1,5,33,31,7,6005,15,2018
34001,Atlantic,NORTHFIELD PD,86,0,0,2,6,29,47,2,8324,3,2018
34001,Atlantic,PLEASANTVILLE PD,398,1,19,33,39,99,195,12,20799,99,2018
34001,Atlantic,SOMERS POINT PD,260,0,3,6,5,30,209,7,10436,70,2018
34001,Atlantic,SP: ATLANTIC COUNTY,568,0,1,4,19,29,506,9,,161,2018
34001,Atlantic,STOCKTON UNIVERSITY,30,0,1,0,0,1,27,1,0,5,2018
34001,Atlantic,VENTNOR PD,276,3,0,5,9,54,199,6,10182,77,2018
34001,Atlantic,Atlantic County,6402,16,46,231,391,865,4657,196,253906,1539,2018
34001,Atlantic,ABSECON CITY PD,244,0,1,2,5,24,207,5,8252,30,2019
34001,Atlantic,ATLANTIC CITY PD,2061,11,29,182,101,130,1519,89,38271,120,2019
34001,Atlantic,ATLANTIC CO SHERIFF'S  OFFICE,0,0,0,0,0,0,0,0,0,0,2019
34001,Atlantic,ATLANTIC COUNTY PROSECUTOR'S OFFICE,0,0,0,0,0,0,0,0,0,0,2019
34001,Atlantic,BRIGANTINE PD,166,0,0,0,1,31,129,5,8896,23,2019
34001,Atlantic,BUENA PD,51,0,1,0,3,16,28,3,4405,4,2019
34001,Atlantic,EGG HARBOR CITY PD,216,0,1,11,9,42,144,9,4162,48,2019
34001,Atlantic,EGG HARBOR TWP PD,724,0,0,10,42,91,558,23,43276,213,2019
34001,Atlantic,GALLOWAY TWP PD,429,0,2,2,58,94,252,21,36467,95,2019
34001,Atlantic,HAMILTON TWP PD,818,0,1,21,27,91,641,37,26380,282,2019
34001,Atlantic,HAMMONTON PD,140,0,1,4,20,25,78,12,14311,31,2019
34001,Atlantic,LINWOOD CITY PD,94,0,0,0,2,10,78,4,6822,26,2019
34001,Atlantic,LONGPORT PD,11,0,0,0,1,3,7,0,873,5,2019
34001,Atlantic,MARGATE PD,146,0,0,2,4,55,84,1,6045,17,2019
34001,Atlantic,MULLICA TWP PD,73,0,0,1,1,22,43,6,6005,6,2019
34001,Atlantic,NORTHFIELD PD,90,0,0,0,4,13,66,7,8324,7,2019
34001,Atlantic,PLEASANTVILLE PD,336,1,4,26,34,90,156,25,20799,27,2019
34001,Atlantic,SOMERS POINT PD,271,0,2,2,7,22,229,9,10436,61,2019
34001,Atlantic,SP: ATLANTIC COUNTY,691,1,2,7,9,31,630,11,11545,211,2019
34001,Atlantic,STOCKTON UNIVERSITY,46,0,1,0,1,1,43,0,0,3,2019
34001,Atlantic,VENTNOR PD,379,0,4,2,9,66,282,16,10182,85,2019
34001,Atlantic,Atlantic County,6986,13,49,272,338,857,5174,283,265451,1294,2019
34003,Bergen,ALLENDALE PD,33,0,1,0,2,4,23,3,6865,10,2018
34003,Bergen,ALPINE PD,25,0,1,0,0,4,11,9,1873,1,2018
34003,Bergen,BERGEN CO PROSECUTOR'S OFFICE,0,0,0,0,0,0,0,0,0,0,2018
34003,Bergen,BERGEN CO SHERIFF'S DEPT,0,0,0,0,0,0,0,0,0,0,2018
34003,Bergen,BERGENFIELD PD,77,0,0,1,0,12,60,4,27684,6,2018
34003,Bergen,BOGOTA PD,47,1,0,1,0,8,34,3,8499,5,2018
34003,Bergen,CARLSTADT PD,93,0,0,2,4,5,79,3,6252,20,2018
34003,Bergen,CLIFFSIDE PARK PD,165,0,5,4,6,17,121,12,25001,51,2018
34003,Bergen,CLOSTER PD,59,0,0,0,1,1,49,8,8691,5,2018
34003,Bergen,CRESSKILL PD,48,0,0,0,1,11,25,11,8862,5,2018
34003,Bergen,DEMAREST PD,21,0,0,0,0,2,10,9,4977,7,2018
34003,Bergen,DUMONT PD,54,0,0,2,3,6,43,0,17825,9,2018
34003,Bergen,EAST RUTHERFORD PD,162,0,3,3,8,15,123,10,9941,27,2018
34003,Bergen,EDGEWATER PD,150,0,0,3,10,3,127,7,12318,65,2018
34003,Bergen,ELMWOOD PARK PD,375,0,0,14,19,37,284,21,20277,71,2018
34003,Bergen,EMERSON PD,38,0,0,0,2,2,32,2,7679,6,2018
34003,Bergen,ENGLEWOOD CLIFFS PD,63,0,0,0,1,17,38,7,5395,3,2018
34003,Bergen,ENGLEWOOD PD,366,0,6,19,60,45,215,21,28988,60,2018
34003,Bergen,FAIR LAWN PD,323,2,0,4,13,39,255,10,33413,96,2018
34003,Bergen,FAIRVIEW PD,179,0,0,25,10,29,109,6,14428,42,2018
34003,Bergen,FORT LEE PD,293,0,3,6,13,32,220,19,37729,0,2018
34003,Bergen,FRANKLIN LAKES BORO PD,60,0,0,1,0,7,46,6,11191,9,2018
34003,Bergen,GARFIELD PD,664,0,11,27,41,61,480,44,32203,251,2018
34003,Bergen,GLEN ROCK PD,49,0,0,0,0,1,47,1,11937,14,2018
34003,Bergen,HACKENSACK PD,765,0,15,28,73,36,578,35,44926,177,2018
34003,Bergen,HARRINGTON PARK PD,13,0,0,0,0,7,3,3,4802,4,2018
34003,Bergen,HASBROUCK HEIGHTS PD,52,0,0,0,1,0,51,0,12163,4,2018
34003,Bergen,HAWORTH PD,12,0,0,0,0,1,11,0,3463,0,2018
34003,Bergen,HILLSDALE PD,44,0,0,1,2,3,37,1,10484,16,2018
34003,Bergen,HO-HO-KUS PD,32,0,0,0,1,10,20,1,4139,2,2018
34003,Bergen,LEONIA PD,77,0,0,0,3,10,59,5,9175,16,2018
34003,Bergen,LITTLE FERRY PD,101,0,0,0,7,17,67,10,10895,9,2018
34003,Bergen,LODI PD,282,0,3,9,16,37,184,33,24720,28,2018
34003,Bergen,LYNDHURST PD,180,0,2,3,7,12,138,18,22384,45,2018
34003,Bergen,MAHWAH TWP PD,101,0,2,0,1,7,79,12,26501,15,2018
34003,Bergen,MAYWOOD PD,72,0,0,3,1,9,55,4,9763,11,2018
34003,Bergen,MIDLAND PARK PD,38,0,1,0,0,0,36,1,7313,4,2018
34003,Bergen,MONTVALE PD,20,0,0,0,0,0,19,1,8729,5,2018
34003,Bergen,MOONACHIE PD,62,0,2,0,2,3,53,2,2774,7,2018
34003,Bergen,NEW MILFORD PD,57,0,1,0,4,11,39,2,16701,0,2018
34003,Bergen,NORTH ARLINGTON PD,153,0,0,2,3,9,120,19,15868,21,2018
34003,Bergen,NORTHVALE PD,7,0,0,0,2,0,5,0,4965,7,2018
34003,Bergen,NORWOOD PD,15,0,0,0,0,0,14,1,5836,0,2018
34003,Bergen,OAKLAND PD,55,0,0,0,7,4,44,0,13102,10,2018
34003,Bergen,OLD TAPPAN PD,23,0,0,0,1,2,12,8,5998,4,2018
34003,Bergen,ORADELL PD,31,0,4,0,2,4,18,3,8243,13,2018
34003,Bergen,PALISADES INTER. PARKWAY PD,12,0,0,0,4,3,5,0,0,5,2018
34003,Bergen,PALISADES PARK PD,147,0,1,10,6,34,80,16,20888,35,2018
34003,Bergen,PARAMUS PD,1091,0,3,12,9,24,1015,28,26744,39,2018
34003,Bergen,PARK RIDGE PD,18,0,0,0,3,6,9,0,8858,0,2018
34003,Bergen,RAMSEY PD,108,0,0,0,2,8,96,2,15126,26,2018
34003,Bergen,RIDGEFIELD BORO PD,71,0,0,1,2,7,57,4,11329,10,2018
34003,Bergen,RIDGEFIELD PARK PD,112,0,0,2,11,9,88,2,13028,28,2018
34003,Bergen,RIDGEWOOD VILLAGE PD,160,0,1,0,4,22,130,3,25429,37,2018
34003,Bergen,RIVER EDGE PD,64,0,0,0,0,6,56,2,11611,9,2018
34003,Bergen,RIVER VALE PD,25,0,0,0,1,2,19,3,10157,5,2018
34003,Bergen,ROCHELLE PARK PD,74,0,0,1,0,8,62,3,5648,17,2018
34003,Bergen,ROCKLEIGH BOROUGH,1,0,0,0,1,0,0,0,526,1,2018
34003,Bergen,RUTHERFORD PD,183,0,1,3,15,22,132,10,18617,26,2018
34003,Bergen,SADDLE BROOK PD,193,0,0,0,1,2,187,3,14037,24,2018
34003,Bergen,SADDLE RIVER PD,29,0,0,0,0,4,17,8,3230,6,2018
34003,Bergen,SOUTH HACKENSACK PD,69,1,0,3,2,6,51,6,2473,53,2018
34003,Bergen,STATE POLICE BERGEN COUNTY,38,0,0,1,3,1,28,5,,7,2018
34003,Bergen,TEANECK PD,464,0,10,13,22,79,322,18,40939,58,2018
34003,Bergen,TENAFLY PD,41,0,0,1,3,9,21,7,14742,6,2018
34003,Bergen,TETERBORO BOROUGH,138,0,0,0,1,0,132,5,68,51,2018
34003,Bergen,UPPER SADDLE RIVER PD,25,0,0,0,0,1,15,9,8330,6,2018
34003,Bergen,WALDWICK PD,49,0,0,0,2,8,34,5,10019,5,2018
34003,Bergen,WALLINGTON PD,125,0,0,2,3,8,108,4,11676,41,2018
34003,Bergen,WASHINGTON TWP PD,29,0,0,0,0,6,20,3,9299,14,2018
34003,Bergen,WESTWOOD PD,68,0,1,0,10,20,36,1,11219,7,2018
34003,Bergen,WOODCLIFF LAKE PD,20,0,0,0,0,3,13,4,5844,1,2018
34003,Bergen,WOOD-RIDGE PD,90,0,0,1,6,5,77,1,9105,6,2018
34003,Bergen,WYCKOFF TWP PD,90,0,1,1,4,9,70,5,17161,24,2018
34003,Bergen,Bergen County,9070,4,78,209,442,852,6953,532,941075,2086,2018
34003,Bergen,ALLENDALE PD,38,0,0,0,0,8,26,4,6865,14,2019
34003,Bergen,ALPINE PD,16,0,0,0,1,4,2,9,1873,2,2019
34003,Bergen,BERGEN CO PROSECUTOR'S OFFICE,0,0,0,0,0,0,0,0,0,0,2019
34003,Bergen,BERGEN CO SHERIFF'S DEPT,48,0,2,0,0,2,44,0,0,9,2019
34003,Bergen,BERGENFIELD PD,90,1,1,0,13,11,62,2,27684,18,2019
34003,Bergen,BOGOTA PD,35,0,0,2,0,5,26,2,8499,9,2019
34003,Bergen,CARLSTADT PD,81,0,0,2,6,4,61,8,6252,12,2019
34003,Bergen,CLIFFSIDE PARK PD,120,0,1,5,12,8,94,0,25001,39,2019
34003,Bergen,CLOSTER PD,48,0,1,0,4,0,39,4,8691,18,2019
34003,Bergen,CRESSKILL PD,30,0,1,1,0,6,18,4,8862,4,2019
34003,Bergen,DEMAREST PD,14,0,0,0,2,4,5,3,4977,6,2019
34003,Bergen,DUMONT PD,60,0,0,1,5,2,52,0,17825,13,2019
34003,Bergen,EAST RUTHERFORD PD,131,0,0,2,2,9,106,12,9941,31,2019
34003,Bergen,EDGEWATER PD,164,0,1,2,1,13,142,5,12318,51,2019
34003,Bergen,ELMWOOD PARK PD,299,0,0,12,13,37,215,22,20277,48,2019
34003,Bergen,EMERSON PD,32,0,0,0,1,2,25,4,7679,9,2019
34003,Bergen,ENGLEWOOD CLIFFS PD,49,0,0,0,1,27,12,9,5395,2,2019
34003,Bergen,ENGLEWOOD PD,414,2,10,18,41,64,257,22,28988,40,2019
34003,Bergen,FAIR LAWN PD,243,0,0,1,6,32,187,17,33413,84,2019
