"Row ID","Place ID","Place Name","Use Code","Use Level",Descriptiion,"Acreage 1986","Acreage 1995","Acreage 2002","Acreage 2007","Acreage 2012","Acreage 2015","Change in Acreage 1986 - 1995","Change in Acreage 1995 - 2002","Change in Acreage 2002 - 2007","Change in Acreage 2007 - 2012","Change in Acreage 2012 - 2015","Change in Acreage 1986 - 2015","Percentage Change 1986 - 1995","Percentage Change 1995 - 2002","Percentage Change 2002 - 2007","Percentage Change 2007 - 2012","Percentage Change 2012 - 2015","Percentage Change 1986 - 2015","Percentage Change 1986 - 1995","Percentage Change 1995 - 2002","Percentage Change 2002 - 2007","Percentage Change 2007 - 2012","Percentage Change 2012 - 2015","Percentage Change 1986 - 2015","Place Total Area"
1,0,Statewide,1,1,URBAN,"1,208,351.0","1,342,337.1","1,440,546.4","1,532,289.6","1,558,251.3","1,568,916.1","133,986.1","98,209.3","91,743.2","25,961.7","10,664.8","360,565.1",11.09,7.32,6.37,1.69,0.68,29.84,24.31,27.01,28.98,30.83,31.35,31.57,"4,970,017.0"
2,0,Statewide,2,1,AGRICULTURE,"744,378.9","659,014.2","596,802.2","566,043.5","545,817.4","543,504.3","-85,364.7","-62,212.0","-30,758.7","-20,226.1","-2,313.2","-200,874.6",-11.47,-9.44,-5.15,-3.57,-0.42,-26.99,14.98,13.26,12.01,11.39,10.98,10.94,"4,970,017.0"
3,0,Statewide,4,1,FOREST,"1,641,199.8","1,602,487.8","1,575,206.3","1,526,316.3","1,527,479.0","1,518,700.1","-38,712.0","-27,281.5","-48,890.0","1,162.7","-8,779.0","-122,499.7",-2.36,-1.7,-3.1,0.08,-0.57,-7.46,33.02,32.24,31.69,30.71,30.73,30.56,"4,970,017.0"
4,0,Statewide,5,1,WATER,"270,003.8","274,504.9","285,160.0","296,083.7","297,887.7","294,219.5","4,501.2","10,655.0","10,923.7","1,804.0","-3,668.2","24,215.7",1.67,3.88,3.83,0.61,-1.23,8.97,5.43,5.52,5.74,5.96,5.99,5.92,"4,970,017.0"
5,0,Statewide,6,1,WETLANDS,"1,048,590.4","1,033,111.9","1,009,813.6","996,788.9","992,611.4","992,098.8","-15,478.5","-23,298.4","-13,024.7","-4,177.5",-512.6,"-56,491.6",-1.48,-2.26,-1.29,-0.42,-0.05,-5.39,21.1,20.79,20.32,20.06,19.97,19.96,"4,970,017.0"
6,0,Statewide,7,1,"BARREN LAND","56,329.9","57,397.5","61,324.9","51,331.3","47,970.4","52,423.3","1,067.6","3,927.4","-9,993.6","-3,360.9","4,452.9","-3,906.6",1.9,6.84,-16.3,-6.55,9.28,-6.94,1.13,1.15,1.23,1.03,0.97,1.05,"4,970,017.0"
7,0,Statewide,11,2,Residential,"780,449.1","876,047.5","944,174.9","996,944.1","1,013,190.6","1,019,934.8","95,598.4","68,127.4","52,769.2","16,246.4","6,744.2","239,485.7",12.25,7.78,5.59,1.63,0.67,30.69,15.7,17.63,19,20.06,20.39,20.52,"4,970,017.0"
8,0,Statewide,12,2,"Commercial and Services","118,414.7","129,374.6","138,117.1","147,048.6","151,945.2","153,488.2","10,959.9","8,742.5","8,931.5","4,896.7","1,543.0","35,073.5",9.26,6.76,6.47,3.33,1.02,29.62,2.38,2.6,2.78,2.96,3.06,3.09,"4,970,017.0"
9,0,Statewide,13,2,Industrial,"63,480.7","65,998.2","67,615.9","66,324.3","65,842.1","65,010.5","2,517.5","1,617.7","-1,291.6",-482.2,-831.6,"1,529.8",3.97,2.45,-1.91,-0.73,-1.26,2.41,1.28,1.33,1.36,1.33,1.32,1.31,"4,970,017.0"
10,0,Statewide,14,2,Transportation/Communication/Utilities,"69,720.3","74,425.1","94,257.7","110,591.3","117,024.7","121,248.9","4,704.8","19,832.6","16,333.6","6,433.4","4,224.2","51,528.6",6.75,26.65,17.33,5.82,3.61,73.91,1.4,1.5,1.9,2.23,2.35,2.44,"4,970,017.0"
11,0,Statewide,15,2,"Industrial and Commercial Complexes",377.7,419.0,540.8,754.5,"1,086.2","1,278.5",41.3,121.8,213.7,331.7,192.3,900.8,10.93,29.08,39.51,43.96,17.7,238.49,0.01,0.01,0.01,0.02,0.02,0.03,"4,970,017.0"
12,0,Statewide,16,2,"Mixed Urban or Built-up Land","1,444.0","1,409.3","1,566.7","2,377.4","2,719.2","2,683.1",-34.7,157.5,810.7,341.8,-36.1,"1,239.1",-2.41,11.17,51.74,14.38,-1.33,85.81,0.03,0.03,0.03,0.05,0.05,0.05,"4,970,017.0"
13,0,Statewide,17,2,"Other Urban or Built-up Land","108,239.9","123,556.8","111,776.7","119,110.2","112,850.8","110,979.2","15,316.9","-11,780.1","7,333.5","-6,259.5","-1,871.6","2,739.3",14.15,-9.53,6.56,-5.26,-1.66,2.53,2.18,2.49,2.25,2.4,2.27,2.23,"4,970,017.0"
14,0,Statewide,18,2,"Recreational Land","77,510.9","84,329.5","97,541.2","104,166.6","108,828.6","109,599.1","6,818.6","13,211.7","6,625.4","4,662.0",770.5,"32,088.2",8.8,15.67,6.79,4.48,0.71,41.4,1.56,1.7,1.96,2.1,2.19,2.21,"4,970,017.0"
15,0,Statewide,21,2,"Cropland and Pastureland","758,491.7","663,148.1","588,118.7","540,500.3","509,201.6","508,474.9","-95,343.5","-75,029.4","-47,618.5","-31,298.6",-726.7,"-250,016.7",-12.57,-11.31,-8.1,-5.79,-0.14,-32.96,15.26,13.34,11.83,10.88,10.25,10.23,"4,970,017.0"
