ID,ADDRESS,CITY,ST,ZIP,Longitude,Latitude,Match Score
Newark Museum of Art,49 Washington St,Newark,NJ,07102,-74.17143454503832,40.74252235737763,100
New Jersey State Museum,205 W State St,Trenton,NJ,08608,-74.77275974675783,40.22172969077801,100
Hunterdon Art Museum,7 Lower Center St,Clinton,NJ,08809,-74.91186186434325,40.63666935574108,100
Montclair Art Museum,3 South Mountain Avenue,Montclair,NJ,07042,-74.224659714021,40.81910692659154,100
The Museum of Russian Art,80 Grand St,Jersey City,NJ,07302,-74.03709350807456,40.715287165118056,100
Princeton University Art Museum,Elm Dr,Princeton,NJ,08544,-74.65711926627559,40.34438548081111,100
Zimmerli Art Museum,71 Hamilton St,New Brunswick,NJ,08901,-74.44739736016679,40.499192347287895,100
American Labor Museum,83 Norwood St,Haledon,NJ,07508,-74.18844821592255,40.93471981628554,100
Aviation Hall of Fame & Museum,400 Fred Wehran Dr,Teterbero,NJ,07608,-74.05432031552176,40.85353666595644,98.14
Barclay Farmstead,209 Barclay Ln,Cherry Hill,NJ,08034,-74.99915930209619,39.90592183540832,100
Battleship New Jersey,62 Battleship Pl,Camden,NJ,08103,-75.13015718045918,39.942105186451,100
Blairstown Museum,26 Main St,Blairstown,NJ,07825,-74.96098174478905,40.983067597720364,100
Cornelius Low House,1225 River Rd,Piscataway,NJ,08854,-74.46168292055917,40.512009626492954,100
Cranburt Museum,4 Park Pl. E.,Cranbury,NJ,08512,-74.51464925637221,40.31291981242267,100
Doo Wop Experience Museum,4500 Ocean Ave,Wildwood,NJ,08260,-74.81790293136707,38.982514837161446,100
Down Jersey Folklife Center,1000 Village Dr. ,Millville,NJ,08332,-75.01905283908138,39.413353264145265,98.9
Dr. William Robinson Plantation Museum,593 Madison Hill Rd,Clark,NJ,07066,-74.30895643043756,40.61391869122795,100
Dreyfuss Planetarium,49 Washington St,Newark,NJ,07102,-74.17143454503832,40.74252235737763,100
Esther Raab Holocaust Museum & Goodwin Education Center,1301 Springdale Rd,Cherry Hill,NJ,08003,-74.97006105827734,39.88129418636677,100
Field Station: Dinosaurs,40 Fort Lee Rd,Leonia,NJ,07605,-73.99577489087878,40.86545730876284,100
Fossil Discovery Center,30 Plant St,Ogdensburg,NJ,07439,-74.60381895983784,41.08249352363992,100
Franklin Mineral Museum,32 Evans St,Franklin,NJ,07416,-74.58822551862724,41.113699810166615,100
Garden State Discovery Museum,2040 Springdale Rd,Cherry Hill,NJ,08003,-74.96554569106831,39.91179449013987,100
Historic Cold Spring Village,720 Rt. 9,Cape May,NJ,08204,-74.90994488447203,38.97596612594716,100
Historical Society of Haddonfield,343 Kings Hwy. E.,Haddonfield,NJ,08033,-75.02735401272186,39.90082412953522,100
Hoboken Fire Department Museum,213 Bloomfield St,Hoboken,NJ,07030,-74.0311611322831,40.73931175318513,100
Hoboken Historical Museum,1301 Hudson St,Hoboken,NJ,07030,-74.02523598391022,40.7522172978654,100
Imagine That!,4 Vreeland Rd,Florham Park,NJ,07932,-74.37535141332786,40.79462246540691,100
Insectropolis,1761 Rt. 9,Toms River,NJ,08755,-74.21794592445814,40.01452299153096,100
J. Smith Richardson History House & Museum,32 Trinity Pl,Mount Tabor,NJ,07878,-74.48010491881524,40.87342004565215,93.23
James Wilson Marshall House,60 Bridges St,Lambertville,NJ,08530,-74.94366758267566,40.36596292646881,96.97
Jim & Mary Lee Morris Canal Museum at Plane 9 West,477 County Road 519,Stewartsville,NJ,08886,-75.1409358244099,40.694426064226285,100
John F. Peto Studio Museum,102 Cedar Ave,Island Heights,NJ,08732,-74.14156097974485,39.94093457011708,100
Lambert Castle Museum,3 Valley Rd,Paterson,NJ,07503,-74.17185545393836,40.89802834167159,100
