CountyFIPS,County,Agency,Total,Violent,Non-violent,Number of Clearances,Population
34001,Atlantic,Absecon City PD,298,11,229,96,
34001,Atlantic,Atlantic,9891,848,6968,3028,THE COUNTY WIDE
34001,Atlantic,Atlantic City PD,2783,425,1732,599,
34001,Atlantic,Atlantic County Sheriff's Office,8,1,0,0,
34001,Atlantic,Brigantine PD,153,2,110,42,
34001,Atlantic,Buena PD,148,14,111,27,
34001,Atlantic,Egg Harbor City PD,208,15,136,96,
34001,Atlantic,Egg Harbor Township PD,1145,55,812,661,
34001,Atlantic,Galloway Township PD,1021,73,665,176,
34001,Atlantic,Hamilton Township PD,1137,37,880,422,
34001,Atlantic,Hammonton PD,241,17,177,105,
34001,Atlantic,Linwood City PD,116,1,100,24,
34001,Atlantic,Longport PD,17,2,13,8,
34001,Atlantic,Margate PD,152,4,133,54,
34001,Atlantic,Mullica Township PD,135,2,98,34,
34001,Atlantic,Northfield PD,94,3,71,22,
34001,Atlantic,Pleasantville PD,555,116,312,137,
34001,Atlantic,Somers Point PD,339,21,270,61,
34001,Atlantic,State Police Atlantic County,898,40,734,307,
34001,Atlantic,Stockton University,29,4,23,3,
34001,Atlantic,Ventnor PD,378,6,327,131,
34003,Bergen,Allendale PD,57,1,37,32,
34003,Bergen,Alpine PD,12,0,12,2,
34003,Bergen,Bergen County,12883,713,9286,4150,
34003,Bergen,Bergen County Sheriff's Department,106,7,52,56,
34003,Bergen,Bergenfield PD,105,2,103,4,
34003,Bergen,Bogota PD,64,1,51,13,
34003,Bergen,Carlstadt PD,167,11,141,45,
34003,Bergen,Cliffside Park PD,370,23,180,224,
34003,Bergen,Closter PD,46,0,43,14,
34003,Bergen,Cresskill PD,29,3,27,2,
34003,Bergen,Demarest PD,15,1,14,3,
34003,Bergen,Dumont PD,131,4,88,49,
34003,Bergen,East Rutherford PD,186,13,135,72,
34003,Bergen,Edgewater,162,10,133,84,
34003,Bergen,Elmwood Park PD,466,20,348,116,
34003,Bergen,Emerson PD,30,2,25,10,
34003,Bergen,Englewood Cliffs PD,37,0,34,4,
