ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
34,NEW JERSEY,NJ,34001,Atlantic,34001000100,"Census Tract 1, Atlantic County, New Jersey",0.65808383186,2142,292,937,46,751,63,858,313,173,75,14525,2231,356,113,191,52,651,172,380,97,152,61,1733,306,192,86,82,43,0,12,60,33,202,70,0,12,40.1,11.2,18.2,7.1,14525.0,2231.0,29.4,8.8,8.9,2.6,30.4,6.9,17.7,5.1,20.2,8.0,80.9,9.1,9.7,4.2,8.8,4.6,0.0,3.4,8.0,4.4,26.9,8.6,0.0,0.6,0.9739,0.9769,0.9595,0.928,3.8383,0.989,0.124,0.932,0.9162,0.9135,2.8857,0.9534,0.805,0.796,1.601,0.8255,0.5,0.0,0.881,0.8424,0.0,2.2234,0.5625,10.5484,0.9167,1,1,1,1,4,0,1,1,1,3,0,0,0,0,0,0,0,0,0,7,282,110,13.2,4.5,1556
34,NEW JERSEY,NJ,34001,Atlantic,34001000200,"Census Tract 2, Atlantic County, New Jersey",0.202077292556,3296,448,1895,100,1336,154,769,473,134,83,31212,5204,478,158,641,193,449,243,602,258,159,84,1920,532,515,198,798,133,0,12,99,90,335,135,0,12,23.3,12.5,6.6,4.0,31212.0,5204.0,19.4,5.5,19.4,5.5,13.6,7.1,18.3,7.1,11.9,6.2,58.3,14.1,16.1,5.8,42.1,6.7,0.0,1.7,7.4,6.7,25.1,8.7,0.0,0.4,0.8686,0.6214,0.6593,0.8365,2.9858,0.7949,0.7985,0.0655,0.9293,0.7525,2.5458,0.8556,0.666,0.885,1.551,0.7935,0.917,0.0,0.863,0.8279,0.0,2.6079,0.7291,9.6905,0.8349,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,2,263,123,8.0,3.3,1713
34,NEW JERSEY,NJ,34001,Atlantic,34001000300,"Census Tract 3, Atlantic County, New Jersey",0.141140744406,4194,415,1636,89,1273,108,1267,326,283,111,17619,2903,940,222,268,72,1076,177,309,118,259,83,3782,442,1161,251,355,103,0,12,269,99,466,110,0,12,30.2,7.8,12.6,4.7,17619.0,2903.0,33.9,6.9,6.4,1.8,25.7,3.4,7.4,2.8,20.3,6.3,90.2,5.6,30.2,5.8,21.7,6.2,0.0,2.0,21.1,7.6,36.6,7.8,0.0,0.3,0.9283,0.9183,0.9185,0.9585,3.7236,0.9724,0.055,0.7885,0.2182,0.915,1.9767,0.4784,0.8805,0.9735,1.854,0.966,0.767,0.0,0.9885,0.9112,0.0,2.6667,0.7536,10.221,0.8891,1,1,1,1,4,0,0,0,1,1,0,1,1,0,0,1,1,0,2,8,1288,290,30.7,5.6,2197
34,NEW JERSEY,NJ,34001,Atlantic,34001000400,"Census Tract 4, Atlantic County, New Jersey",0.26135437431,2941,444,2208,116,1243,154,967,334,150,82,28439,7375,305,132,445,148,553,160,368,118,124,84,2031,479,663,221,1485,184,12,18,168,83,523,141,20,18,33.3,9.4,10.5,5.8,28439.0,7375.0,14.3,5.8,15.1,4.4,18.8,4.6,12.5,3.5,10.0,6.7,69.1,12.5,23.9,7.1,67.3,7.6,0.5,0.8,13.5,6.5,42.1,9.5,0.7,0.6,0.9433,0.8736,0.7234,0.732,3.2723,0.8741,0.5245,0.2635,0.7046,0.6795,2.1721,0.6444,0.737,0.9455,1.6825,0.866,0.979,0.8154,0.959,0.9408,0.7015,4.3957,0.999,11.5226,0.9844,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,3,5,553,235,18.8,6.8,6677
34,NEW JERSEY,NJ,34001,Atlantic,34001000500,"Census Tract 5, Atlantic County, New Jersey",0.105677661808,3298,348,1077,58,875,83,1191,323,98,72,13623,2276,758,152,242,80,1098,172,167,75,138,67,3060,378,884,198,45,63,0,12,148,73,281,88,0,12,36.5,9.3,6.3,4.5,13623.0,2276.0,39.9,6.4,7.3,2.2,33.3,3.9,5.1,2.3,15.8,7.5,92.8,6.0,29.5,5.8,4.2,5.9,0.0,3.0,16.9,8.2,32.1,9.7,0.0,0.4,0.9599,0.5878,0.9715,0.9845,3.5037,0.9283,0.074,0.968,0.0567,0.8485,1.9472,0.4549,0.9035,0.9695,1.873,0.978,0.3465,0.0,0.98,0.8841,0.0,2.2106,0.5544,9.5345,0.8214,1,0,1,1,3,0,1,0,0,1,1,1,2,0,0,1,0,0,1,7,842,227,25.5,6.0,2088
34,NEW JERSEY,NJ,34001,Atlantic,34001001100,"Census Tract 11, Atlantic County, New Jersey",0.1117379188,1882,399,1100,51,899,98,973,281,135,79,13615,3124,497,153,269,59,568,242,403,97,212,91,1837,400,99,73,478,102,0,12,69,54,582,89,0,12,52.1,12.0,20.4,10.7,13615.0,3124.0,41.6,11.0,14.3,3.6,30.2,11.2,21.4,5.5,23.6,9.8,97.6,4.9,5.8,4.1,43.5,9.1,0.0,2.9,7.7,6.0,64.7,8.1,0.0,0.6,0.996,0.988,0.972,0.986,3.942,0.999,0.4635,0.9275,0.9679,0.9465,3.3054,0.995,0.9585,0.677,1.6355,0.842,0.9245,0.0,0.871,0.9965,0.0,2.792,0.7953,11.6749,0.9905,1,1,1,1,4,0,1,1,1,3,1,0,1,1,0,0,1,0,2,10,130,68,6.9,3.9,1378
34,NEW JERSEY,NJ,34001,Atlantic,34001001200,"Census Tract 12, Atlantic County, New Jersey",0.464269894308,3306,453,1587,88,1300,131,1296,454,137,68,18276,4152,386,138,424,108,818,265,660,170,256,103,3166,459,98,79,251,107,12,20,0,17,328,115,268,118,39.2,10.9,9.5,4.9,18276.0,4152.0,19.6,6.4,12.8,3.1,24.7,7.3,20.0,5.0,19.7,7.7,95.8,4.6,3.3,2.6,15.8,6.7,0.8,1.3,0.0,1.3,25.2,8.2,8.1,3.4,0.9709,0.845,0.9085,0.8385,3.5629,0.9378,0.3535,0.737,0.9554,0.9055,2.9514,0.9639,0.9325,0.522,1.4545,0.741,0.6695,0.857,0.0,0.8304,0.9515,3.3084,0.9197,11.2772,0.9709,1,0,1,0,2,0,0,1,1,2,1,0,1,0,0,0,0,1,1,6,182,96,5.5,3.1,5202
34,NEW JERSEY,NJ,34001,Atlantic,34001001300,"Census Tract 13, Atlantic County, New Jersey",6.536541608344,1576,214,940,56,685,85,421,137,207,79,20670,2926,98,69,246,64,330,81,201,77,163,49,1420,227,19,45,207,74,18,26,0,17,187,67,14,6,26.7,8.5,23.4,8.9,20670.0,2926.0,9.1,6.3,15.6,3.5,20.9,4.3,12.8,4.8,23.8,6.5,90.1,7.6,1.3,3.1,22.0,7.8,1.9,2.8,0.0,2.5,27.3,9.2,0.9,0.4,0.8992,0.992,0.8724,0.565,3.3286,0.8857,0.5655,0.432,0.7252,0.9475,2.6702,0.8967,0.8795,0.284,1.1635,0.5895,0.771,0.9147,0.0,0.844,0.7295,3.2592,0.9067,10.4215,0.9062,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3,127,65,8.1,3.8,2732
34,NEW JERSEY,NJ,34001,Atlantic,34001001400,"Census Tract 14, Atlantic County, New Jersey",0.757814750664,3540,357,1676,82,1441,111,2148,434,353,124,21478,11080,572,175,393,107,1550,307,468,146,495,144,3278,401,142,93,518,165,0,12,95,81,642,157,7,7,61.4,10.3,28.7,9.3,21478.0,11080.0,31.9,8.5,11.1,3.3,43.8,7.5,13.2,4.2,34.4,9.7,92.6,6.4,4.9,3.2,30.9,9.8,0.0,1.9,6.6,5.7,44.6,9.6,0.2,0.2,1.0,0.9965,0.8614,0.9455,3.8034,0.986,0.2355,0.9935,0.7492,0.993,2.9712,0.9679,0.901,0.6375,1.5385,0.786,0.8445,0.0,0.8395,0.9538,0.467,3.1048,0.8781,11.4179,0.9804,1,1,0,1,3,0,1,0,1,2,1,0,1,0,0,0,1,0,1,7,174,92,4.9,2.5,10727
34,NEW JERSEY,NJ,34001,Atlantic,34001001500,"Census Tract 15, Atlantic County, New Jersey",0.115864576976,1761,265,897,57,782,72,657,179,138,83,13632,2234,378,121,351,76,317,94,529,139,141,78,1688,268,92,69,416,90,0,12,32,30,465,111,19,10,37.3,12.2,21.4,10.3,13632.0,2234.0,30.7,8.7,19.9,5.4,18.0,4.6,30.0,7.1,18.0,9.9,95.9,4.9,5.6,4.1,46.4,9.6,0.0,3.6,4.1,3.9,59.5,12.4,1.1,0.5,0.9634,0.989,0.971,0.938,3.8614,0.9935,0.8235,0.2035,0.992,0.884,2.903,0.9569,0.935,0.6725,1.6075,0.8275,0.9335,0.0,0.72,0.992,0.755,3.4005,0.9358,11.7724,0.9935,1,1,1,1,4,0,0,1,0,1,1,0,1,1,0,0,1,0,2,8,186,142,10.6,7.1,1236
