"","SSN","HSgradrate"
"1",1330,33
"2",101,32
"3",1001,51
"4",2101,51
"5",201,47
"6",1301,39
"7",1302,45
"8",1701,34
"9",2102,13
"10",202,47
"11",1901,34
"12",1902,23
"13",1303,2
"14",102,2
"15",1304,28
"16",401,35
"17",402,4
"18",501,47
"19",1305,38
"20",1501,49
"21",1533,23
"22",403,18
"23",301,8
"24",1502,55
"25",901,13
"26",1503,46
"27",1504,26
"28",1801,48
"29",701,14
"30",404,4
"31",1306,19
"32",2103,32
"33",203,21
"34",2001,40
"35",1505,7
"36",405,13
"37",406,15
"38",1802,52
"39",1803,24
"40",1002,53
"41",302,9
"42",2104,37
"43",702,23
"44",1601,20
"45",1003,47
"46",204,23
"47",1401,27
"48",1402,55
"49",303,45
"50",304,32
"51",1804,10
"52",1307,20
"53",1805,53
"54",1903,17
"55",1506,24
"56",601,NA
"57",1806,39
"58",1308,43
"59",103,22
"60",407,21
"61",104,2
"62",105,5
"63",305,14
"64",306,21
"65",1403,30
"66",1904,48
"67",703,35
"68",1004,53
"69",408,NA
"70",502,20
"71",503,30
"72",205,13
"73",1713,10
"74",1201,6
"75",704,35
"76",1404,53
"77",1405,52
"78",409,35
"79",410,4
"80",1406,38
"81",1407,54
"82",307,5
"83",308,34
"84",717,3
"85",2002,34
"86",801,5
"87",411,12
"88",206,11
"89",1602,10
"90",1005,50
"91",1006,36
"92",207,37
"93",412,32
"94",1309,49
"95",602,2
"96",106,30
"97",1202,41
"98",2003,40
"99",208,43
"100",1310,32
"101",603,9
"102",309,16
"103",1007,40
"104",310,25
"105",209,50
"106",504,26
"107",1408,47
"108",802,15
"109",1409,1
"110",604,2
"111",210,27
"112",1203,26
"113",1508,10
"114",1008,51
"115",1204,43
"116",803,22
"117",1410,38
"118",902,3
"119",705,5
"120",212,27
"121",1101,31
"122",311,33
"123",1311,23
"124",213,52
"125",312,27
"126",1205,27
"127",107,6
"128",108,20
"129",2004,1
"130",804,17
"131",1702,33
"132",211,18
"133",1703,16
"134",214,43
"135",215,16
"136",216,48
"137",1312,28
"138",706,55
"139",109,26
"140",313,43
"141",1102,25
"142",1313,55
