SSN,count_bars,count_ls
"0101",1,
"0102",29,1
"0103",1,1
"0108",1,5
"0116",1,2
"0121",10,1
"0206",1,
"0208",1,
"0210",1,
"0222",1,9
"0225",4,8
"0245",1,1
"0246",1,
"0266",8,
"0313",7,33
"0319",8,
"0329",10,
"0340",17,
"0403",1,5
"0406",12,
"0408",51,88
"0409",9,16
"0411",9,
"0414",1,4
"0416",11,24
"0419",4,4
"0425",2,
"0426",12,
"0427",19,46
"0431",10,
"0432",17,
"0434",9,21
"0502",40,4
"0505",5,1
"0507",9,
"0514",6,34
"0601",6,6
"0610",9,5
"0701",2,1
"0702",6,4
"0704",1,1
"0707",2,
"0711",1,16
"0712",1,
"0713",11,7
"0714",17,1
"0716",6,
"0806",18,1
"0810",2,1
"0811",2,1
"0812",13,4
"0815",1,
"0820",13,9
"0821",19,8
"0905",30,9
"0906",15,31
"0910",2,9
"1017",1,
"1103",5,
"1104",4,
"1105",4,1
"1111",45,43
"1114",4,5
"1204",4,
"1205",2,2
"1211",1,1
"1214",8,
"1217",1,1
"1223",1,
"1224",8,
"1225",7,4
"1303",15,5
"1304",1,
"1307",6,
"1308",12,
"1317",1,
"1318",8,
"1321",1,
"1322",20,20
"1325",10,16
"1327",2,1
"1330",12,
"1331",1,1
"1334",1,1
"1336",1,
"1337",1,
"1339",1,2
"1340",1,7
"1347",14,
"1350",20,
"1351",1,
"1417",8,9
"1424",10,6
"1427",6,6
"1429",8,
"1433",1,9
"1436",6,1
"1439",5,1
"1501",1,
"1505",2,13
"1506",2,6
"1507",10,7
"1511",9,
"1516",1,1
"1517",1,
"1525",6,
"1526",14,15
"1528",1,
"1602",7,16
"1603",1,
"1608",25,21
"1609",15,5
"1614",7,11
"1616",16,
"1701",1,
"1708",12,7
"1709",1,
"1710",1,
"1803",1,
"1804",1,
"1805",1,1
"1806",4,1
"1810",5,3
"1811",1,1
"1818",2,3
"1902",8,
"1904",19,
"1912",1,10
"1918",5,
"1922",1,
"2003",5,3
"2004",16,
"2005",4,
"2006",22,2
"2010",5,7
"2014",1,1
"2015",3,
"2018",2,9
"2019",14,7
"2107",1,2
"2110",1,1
"2119",4,22
"2121",2,
,1970,919
"0104",,4
"0112",,1
"0113",,12
"0119",,1
"0201",,1
"0211",,4
"0213",,1
"0215",,2
"0219",,2
"0228",,1
"0229",,3
"0240",,4
"0242",,2
"0247",,1
"0248",,6
"0251",,2
"0252",,5
"0263",,8
"0264",,6
"0267",,2
"0268",,1
"0311",,7
"0312",,11
"0314",,1
"0316",,6
"0317",,4
"0324",,4
"0337",,4
"0404",,2
"0405",,4
"0413",,5
"0415",,19
"0421",,8
"0422",,6
"0423",,6
"0424",,1
"0435",,4
"0436",,7
"0501",,1
"0506",,2
"0512",,6
"0603",,2
"0614",,2
"0710",,1
"0719",,4
"0802",,10
"0822",,5
"0901",,1
"0904",,2
"0907",,1
"0909",,10
"0911",,1
"0912",,1
"1009",,4
"1012",,1
"1016",,5
"1021",,4
"1025",,1
"1102",,9
"1106",,4
"1107",,17
"1112",,6
"1207",,8
"1209",,5
"1210",,1
"1213",,1
"1218",,1
"1222",,1
"1326",,4
"1335",,1
"1345",,1
"1348",,6
"1352",,5
"1401",,5
"1403",,1
"1404",,9
"1405",,2
"1408",,7
"1411",,1
"1412",,1
"1415",,6
"1422",,5
"1423",,4
"1430",,2
"1431",,5
"1503",,4
"1522",,4
"1524",,4
"1530",,1
"1601",,10
"1605",,5
"1612",,4
"1613",,1
"1801",,1
"1808",,1
"1813",,6
"1816",,7
"1819",,1
"2002",,1
"2008",,1
"2009",,1
"2011",,3
"2016",,1
"2017",,19
"2020",,7
"2102",,2
"2103",,1
"2108",,1
"2115",,1
"2116",,1
"2120",,13
