"","SSN","vlntCr"
"1",101,1.2
"2",102,15.9
"3",103,0.6
"4",104,2.6
"5",105,1.6
"6",106,0
"7",107,4.2
"8",108,1.7
"9",109,0.6
"10",110,1.6
"11",111,2.5
"12",112,1.7
"13",113,1
"14",114,0.1
"15",115,0
"16",116,1
"17",117,1.1
"18",118,0.2
"19",119,7.5
"20",120,3.6
"21",121,2.5
"22",122,1.4
"23",123,1.1
"24",201,0.1
"25",202,0.5
"26",203,0.3
"27",204,1
"28",205,0.3
"29",206,1.2
"30",207,0.3
"31",208,0.1
"32",209,0.2
"33",210,0.2
"34",211,1.4
"35",212,2.2
"36",213,1.1
"37",214,0.1
"38",215,2.5
"39",216,0.4
"40",217,0.4
"41",218,1
"42",219,0.8
"43",220,0.1
"44",221,2.1
"45",222,0.2
"46",223,2
"47",224,0.4
"48",225,0.3
"49",226,0
"50",227,0.2
"51",228,0.2
"52",229,0.3
"53",230,1.7
"54",231,1.4
"55",232,0.7
"56",233,0.2
"57",234,0.3
"58",235,0.5
"59",236,0.2
"60",237,1.1
"61",238,0.2
"62",239,1
"63",240,0.6
"64",241,0
"65",242,0.2
"66",243,0.2
"67",244,0.5
"68",245,1
"69",246,1.8
"70",247,0.1
"71",248,0.5
"72",249,0.3
"73",250,1
"74",251,0.4
"75",252,0.3
"76",253,0
"77",254,0.4
"78",255,0
"79",256,0.5
"80",257,0.4
"81",258,0.6
"82",259,2
"83",260,1.2
"84",261,0.1
"85",262,NA
"86",263,0.2
"87",264,0
"88",265,0.7
"89",266,0.1
"90",267,0.4
"91",268,0.2
"92",269,0.4
"93",270,0.2
"94",301,0.7
"95",302,5.09
"96",303,0.8
"97",304,0.8
"98",305,5.2
"99",306,1.7
"100",307,1.3
"101",308,0.8
"102",309,1.8
"103",310,0.5
"104",311,0.7
"105",312,1.5
"106",313,0.6
"107",314,0
"108",315,0.9
"109",316,1.2
"110",317,3.1
"111",318,1
"112",319,0.7
"113",320,1.6
"114",321,0.8
"115",322,0.5
"116",323,0.8
"117",324,3.9
"118",325,0.9
"119",326,0.5
"120",327,1
"121",328,2.29
"122",329,2.2
"123",330,4.09
"124",331,2.2
"125",332,0.7
"126",333,0.6
"127",334,1.1
"128",335,0.6
"129",336,0.6
"130",337,1.5
"131",338,1.7
"132",339,0
"133",340,11.3
"134",401,0.8
"135",402,0
"136",403,0.7
"137",404,0.7
"138",405,0.5
"139",406,1.1
"140",407,11.9
"141",408,20
"142",409,4.9
"143",410,4
"144",411,1.4
"145",412,1.6
"146",413,0.4
"147",414,1.8
"148",415,1.7
"149",416,1.7
"150",417,1
"151",418,0.4
"152",419,7
"153",420,0.5
"154",421,4.8
"155",422,6.9
"156",423,1.4
"157",424,3.4
"158",425,1.1
"159",426,1.3
"160",427,3
"161",428,3.8
"162",429,NA
"163",430,1.3
"164",431,2
"165",432,1.9
"166",433,NA
"167",434,1.6
"168",435,0.5
"169",436,1.6
"170",437,2.7
"171",501,2.29
"172",502,1.1
"173",503,0
"174",504,0.9
"175",505,1.6
"176",506,2.7
"177",507,2.5
"178",508,0.9
"179",509,1.4
"180",510,5.9
"181",511,0.5
"182",512,1
"183",513,0
