GEOID,occupancy_rate,vacancy_rate,multiunit_struct,mobile_home_rate,pop_20yrs_plus,no_vehicle,public_transit,NAME,mobile_home,multiunits_10_to_19,multiunits_20_to_49,multiunits_50plus,multiunits_five_to_nine,multiunits_three_or_four,multiunits_two,occupied_owner,occupied_renter,occupied_units,pop_own_90_99,pop_own_bfr89,pop_own_occ,pop_ren_90_99,pop_ren_bfr89,pop_ren_occ,total_units,vacant_units,pop_own_20yrs_plus,pop_ren_20yrs_plus
34001000100,0.8014941302027748,0.19850586979722518,489,0,242,202,190,"Census Tract 1, Atlantic County, New Jersey",0,46,24,12,108,145,154,246,505,751,127,57,736,34,24,1406,937,186,184,58
34001000200,0.7050131926121372,0.2949868073878628,1255,0,807,335,487,"Census Tract 2, Atlantic County, New Jersey",0,66,65,667,159,31,267,747,589,1336,323,235,1807,159,90,1489,1895,559,558,249
34001000300,0.7781173594132029,0.22188264058679708,1328,0,213,466,585,"Census Tract 3, Atlantic County, New Jersey",0,122,88,145,277,322,374,267,1006,1273,94,62,661,30,27,3533,1636,363,156,57
34001000400,0.5629528985507246,0.4370471014492754,1885,0.005434782608695652,432,523,286,"Census Tract 4, Atlantic County, New Jersey",12,175,174,1136,77,162,161,411,832,1243,192,12,841,205,23,2080,2208,965,204,228
34001000500,0.8124419684308264,0.18755803156917364,574,0,598,281,334,"Census Tract 5, Atlantic County, New Jersey",0,0,0,45,134,239,156,372,503,875,356,122,1519,84,36,1779,1077,202,478,120
34001001100,0.8172727272727273,0.18272727272727274,771,0,181,582,100,"Census Tract 11, Atlantic County, New Jersey",0,189,43,246,141,67,85,72,827,899,11,92,148,59,19,1734,1100,201,103,78
34001001200,0.8191556395715186,0.1808443604284814,627,0.007561436672967864,765,328,139,"Census Tract 12, Atlantic County, New Jersey",12,110,63,78,105,94,177,512,788,1300,244,289,1265,182,50,1773,1587,287,533,232
34001001300,0.7287234042553191,0.2712765957446808,371,0.019148936170212766,507,187,76,"Census Tract 13, Atlantic County, New Jersey",18,170,37,0,35,81,48,341,344,685,199,230,809,60,18,753,940,255,429,78
34001001400,0.8597852028639618,0.14021479713603818,1025,0,497,642,196,"Census Tract 14, Atlantic County, New Jersey",0,176,74,268,398,64,45,328,1113,1441,46,180,510,208,63,3023,1676,235,226,271
34001001500,0.8717948717948718,0.1282051282051282,563,0,210,465,79,"Census Tract 15, Atlantic County, New Jersey",0,70,4,342,20,36,91,44,738,782,0,20,115,50,140,1627,897,115,20,190
34001001900,0.6666666666666666,0.3333333333333333,1017,0,223,331,191,"Census Tract 19, Atlantic County, New Jersey",0,31,8,837,21,85,35,59,665,724,74,0,216,94,55,1197,1086,362,74,149
34001002300,0.7529880478087649,0.24701195219123506,593,0,367,408,281,"Census Tract 23, Atlantic County, New Jersey",0,56,12,0,87,175,263,221,535,756,279,81,828,7,0,1641,1004,248,360,7
34001002400,0.717948717948718,0.28205128205128205,1459,0,103,694,279,"Census Tract 24, Atlantic County, New Jersey",0,214,273,752,135,63,22,123,1053,1176,0,33,209,70,0,2167,1638,462,33,70
34001002500,0.8396031417941298,0.16039685820587019,1608,0,756,1168,502,"Census Tract 25, Atlantic County, New Jersey",0,186,31,1207,25,71,88,327,1704,2031,229,68,679,401,58,3073,2419,388,297,459
34001010101,0.48300536672629696,0.516994633273703,501,0.0032200357781753132,1421,80,24,"Census Tract 101.01, Atlantic County, New Jersey",9,108,130,37,20,61,145,1125,225,1350,889,407,2655,114,11,494,2795,1445,1296,125
34001010102,0.372354211663067,0.6276457883369331,744,0,730,92,60,"Census Tract 101.02, Atlantic County, New Jersey",0,104,125,213,82,56,164,635,227,862,373,300,1360,32,25,453,2315,1453,673,57
34001010104,0.3550351288056206,0.6449648711943794,1210,0,382,61,132,"Census Tract 101.04, Atlantic County, New Jersey",0,110,78,302,109,216,395,395,363,758,146,181,723,43,12,692,2135,1377,327,55
34001010105,0.4978485370051635,0.5021514629948365,629,0,704,86,71,"Census Tract 101.05, Atlantic County, New Jersey",0,206,23,80,21,51,248,842,315,1157,340,318,1801,7,39,783,2324,1167,658,46
34001010200,0.8873929008567931,0.11260709914320685,166,0.012239902080783354,2301,104,11,"Census Tract 102, Atlantic County, New Jersey",30,58,0,13,17,14,64,1995,180,2175,1509,792,5222,0,0,490,2451,276,2301,0
34001010300,0.8683712121212122,0.13162878787878787,446,0,771,116,130,"Census Tract 103, Atlantic County, New Jersey",0,216,13,11,83,27,96,586,331,917,201,237,1459,286,47,964,1056,139,438,333
34001010401,0.8631619636644762,0.13683803633552377,524,0.004638577502899111,2267,87,0,"Census Tract 104.01, Atlantic County, New Jersey",12,90,18,40,236,140,0,1711,522,2233,1199,947,4810,82,39,1068,2587,354,2146,121
