SSN,buprenorphine,methadone,naltrexone/vivitrol
"0102",4,0,0
"0102",0,0,7
"0108",0,0,3
"0111",1,0,0
"0111",0,0,5
"0112",2,0,0
"0112",0,1,0
"0112",0,0,2
"0113",2,0,0
"0113",0,0,4
"0118",0,0,1
"0119",1,1,0
"0119",0,0,3
"0121",0,0,1
"0122",0,0,1
"0213",0,0,1
"0215",0,0,1
"0217",0,0,6
"0223",1,0,0
"0223",0,0,2
"0246",2,0,0
"0246",0,1,0
"0246",0,0,6
"0251",0,0,1
"0270",0,0,1
"0313",1,0,0
"0313",0,0,2
"0319",0,0,1
"0320",0,0,2
"0322",0,0,1
"0323",0,1,1
"0324",0,0,1
"0337",0,0,1
"0401",0,0,2
"0405",0,0,3
"0408",0,1,0
"0408",0,0,3
"0409",2,0,0
"0409",0,0,9
"0414",0,0,2
"0415",0,0,6
"0417",0,0,1
"0424",0,0,1
"0427",1,1,0
"0431",1,0,0
"0432",0,0,1
"0434",1,0,0
"0434",0,0,5
"0505",0,0,1
"0506",2,0,0
"0506",0,1,0
"0506",0,0,5
"0516",0,0,1
"0601",0,1,0
"0610",0,0,2
"0613",1,1,0
"0613",0,0,2
"0614",1,1,0
"0614",0,0,3
"0701",1,0,0
"0701",0,0,2
"0704",0,0,1
"0705",0,1,0
"0705",0,0,2
"0709",0,1,0
"0709",0,0,1
"0713",1,0,0
"0714",4,0,0
"0714",0,2,0
"0714",0,0,9
"0722",0,0,1
"0801",1,0,0
"0801",0,0,2
"0805",1,0,1
"0808",0,0,1
"0811",0,0,1
"0818",1,1,0
"0818",0,0,5
"0820",0,0,1
"0822",1,0,0
"0823",0,0,1
"0901",1,0,0
"0906",3,0,0
"0906",0,2,0
"0906",0,0,7
"0907",1,0,0
"0907",0,1,0
"0907",0,0,2
"0909",1,1,0
"0909",0,0,2
"1009",1,0,0
"1009",0,0,4
"1019",1,0,1
"1021",0,0,2
"1102",0,0,2
"1103",1,1,0
"1103",0,0,2
"1107",1,0,1
"1111",5,0,0
"1111",0,2,0
"1111",0,0,6
"1113",1,0,0
"1113",0,0,2
"1114",0,0,3
"1204",0,0,1
"1205",0,0,3
"1209",1,0,0
"1209",0,0,3
"1211",0,0,2
"1214",3,0,0
"1214",0,1,0
"1214",0,0,5
"1215",0,0,1
"1216",1,0,0
"1216",0,0,7
"1219",0,0,1
"1220",1,1,0
"1220",0,0,2
"1221",1,0,0
"1221",0,0,3
"1222",0,0,1
"1225",0,0,2
"1303",0,0,1
"1309",0,0,1
"1311",1,0,0
"1311",0,0,4
"1313",0,0,1
"1315",2,0,0
"1315",0,0,5
"1316",1,0,0
"1316",0,0,4
"1319",1,0,0
"1319",0,0,2
"1321",1,0,0
"1321",0,0,3
"1322",0,0,1
"1325",0,0,1
"1326",0,0,1
"1328",1,0,0
"1328",0,0,6
"1330",1,0,0
"1330",0,0,3
"1331",2,0,0
"1331",0,1,0
"1331",0,0,6
"1334",2,0,0
"1334",0,1,0
"1334",0,0,5
"1335",0,0,1
"1337",0,0,1
"1338",1,0,0
"1338",0,0,3
"1339",0,0,1
"1340",0,0,1
"1345",1,0,1
"1408",0,1,0
"1409",1,0,0
"1409",0,0,2
"1411",0,0,3
"1418",1,0,0
"1421",1,0,1
"1422",0,0,2
"1424",0,0,1
"1429",0,0,1
"1432",0,0,1
"1435",1,0,1
"1436",0,0,1
"1505",0,0,1
"1506",2,0,0
"1506",0,1,0
"1506",0,0,6
"1507",3,0,0
"1507",0,1,0
"1507",0,0,7
"1511",0,0,2
"1514",1,0,0
"1514",0,0,4
"1523",0,0,1
"1528",0,0,1
"1530",0,0,1
"1533",1,0,1
"1602",0,0,1
"1607",1,0,0
"1607",0,1,0
"1608",5,0,0
"1608",0,1,0
"1608",0,0,5
"1613",0,0,1
"1616",0,0,1
"1705",0,0,1
"1708",0,0,1
"1808",1,0,0
"1808",0,0,1
"1810",0,0,1
"1813",0,0,2
"1818",1,1,0
"1818",0,0,1
"1819",0,0,1
"1904",1,0,1
"1913",1,0,1
"1915",1,0,1
"1918",1,0,1
"2002",0,0,2
"2004",2,0,0
"2004",0,1,0
"2004",0,0,4
"2009",0,0,1
"2012",1,1,0
"2016",0,0,2
"2017",0,0,1
"2018",1,0,1
"2019",1,0,0
"2019",0,0,3
"2119",1,1,0
"2119",0,0,1
