GEOID,NAME,rent_gross
34001000100,"Census Tract 1, Atlantic County, New Jersey",505
34001000200,"Census Tract 2, Atlantic County, New Jersey",589
34001000300,"Census Tract 3, Atlantic County, New Jersey",1006
34001000400,"Census Tract 4, Atlantic County, New Jersey",832
34001000500,"Census Tract 5, Atlantic County, New Jersey",503
34001001100,"Census Tract 11, Atlantic County, New Jersey",827
34001001200,"Census Tract 12, Atlantic County, New Jersey",788
34001001300,"Census Tract 13, Atlantic County, New Jersey",344
34001001400,"Census Tract 14, Atlantic County, New Jersey",1113
34001001500,"Census Tract 15, Atlantic County, New Jersey",738
34001001900,"Census Tract 19, Atlantic County, New Jersey",665
34001002300,"Census Tract 23, Atlantic County, New Jersey",535
34001002400,"Census Tract 24, Atlantic County, New Jersey",1053
34001002500,"Census Tract 25, Atlantic County, New Jersey",1704
34001010101,"Census Tract 101.01, Atlantic County, New Jersey",225
34001010102,"Census Tract 101.02, Atlantic County, New Jersey",227
34001010104,"Census Tract 101.04, Atlantic County, New Jersey",363
34001010105,"Census Tract 101.05, Atlantic County, New Jersey",315
34001010200,"Census Tract 102, Atlantic County, New Jersey",180
34001010300,"Census Tract 103, Atlantic County, New Jersey",331
34001010401,"Census Tract 104.01, Atlantic County, New Jersey",522
34001010403,"Census Tract 104.03, Atlantic County, New Jersey",364
34001010501,"Census Tract 105.01, Atlantic County, New Jersey",435
34001010503,"Census Tract 105.03, Atlantic County, New Jersey",1385
34001010505,"Census Tract 105.05, Atlantic County, New Jersey",18
34001010506,"Census Tract 105.06, Atlantic County, New Jersey",332
34001010600,"Census Tract 106, Atlantic County, New Jersey",677
34001010700,"Census Tract 107, Atlantic County, New Jersey",254
34001010800,"Census Tract 108, Atlantic County, New Jersey",366
34001010900,"Census Tract 109, Atlantic County, New Jersey",683
34001011000,"Census Tract 110, Atlantic County, New Jersey",160
34001011100,"Census Tract 111, Atlantic County, New Jersey",280
34001011201,"Census Tract 112.01, Atlantic County, New Jersey",43
34001011202,"Census Tract 112.02, Atlantic County, New Jersey",411
34001011300,"Census Tract 113, Atlantic County, New Jersey",813
34001011401,"Census Tract 114.01, Atlantic County, New Jersey",219
34001011403,"Census Tract 114.03, Atlantic County, New Jersey",1124
34001011404,"Census Tract 114.04, Atlantic County, New Jersey",835
34001011500,"Census Tract 115, Atlantic County, New Jersey",531
34001011600,"Census Tract 116, Atlantic County, New Jersey",191
34001011701,"Census Tract 117.01, Atlantic County, New Jersey",457
34001011702,"Census Tract 117.02, Atlantic County, New Jersey",289
34001011802,"Census Tract 118.02, Atlantic County, New Jersey",229
34001011803,"Census Tract 118.03, Atlantic County, New Jersey",565
34001011804,"Census Tract 118.04, Atlantic County, New Jersey",182
34001011805,"Census Tract 118.05, Atlantic County, New Jersey",61
34001011900,"Census Tract 119, Atlantic County, New Jersey",1780
34001012000,"Census Tract 120, Atlantic County, New Jersey",644
34001012100,"Census Tract 121, Atlantic County, New Jersey",367
34001012200,"Census Tract 122, Atlantic County, New Jersey",765
34001012302,"Census Tract 123.02, Atlantic County, New Jersey",156
34001012401,"Census Tract 124.01, Atlantic County, New Jersey",54
34001012402,"Census Tract 124.02, Atlantic County, New Jersey",49
34001012501,"Census Tract 125.01, Atlantic County, New Jersey",204
34001012502,"Census Tract 125.02, Atlantic County, New Jersey",85
34001012602,"Census Tract 126.02, Atlantic County, New Jersey",31
34001012701,"Census Tract 127.01, Atlantic County, New Jersey",573
34001012702,"Census Tract 127.02, Atlantic County, New Jersey",326
34001012801,"Census Tract 128.01, Atlantic County, New Jersey",816
34001012802,"Census Tract 128.02, Atlantic County, New Jersey",150
34001013000,"Census Tract 130, Atlantic County, New Jersey",195
34001013101,"Census Tract 131.01, Atlantic County, New Jersey",18
34001013102,"Census Tract 131.02, Atlantic County, New Jersey",334
34001013201,"Census Tract 132.01, Atlantic County, New Jersey",406
34001013202,"Census Tract 132.02, Atlantic County, New Jersey",306
34001013301,"Census Tract 133.01, Atlantic County, New Jersey",497
34001013302,"Census Tract 133.02, Atlantic County, New Jersey",376
34001013500,"Census Tract 135, Atlantic County, New Jersey",137
34001983400,"Census Tract 9834, Atlantic County, New Jersey",0
34001990000,"Census Tract 9900, Atlantic County, New Jersey",0
34003001000,"Census Tract 10, Bergen County, New Jersey",329
34003002100,"Census Tract 21, Bergen County, New Jersey",95
34003002200,"Census Tract 22, Bergen County, New Jersey",246
34003002300,"Census Tract 23, Bergen County, New Jersey",401
34003003100,"Census Tract 31, Bergen County, New Jersey",295
34003003200,"Census Tract 32, Bergen County, New Jersey",985
34003003300,"Census Tract 33, Bergen County, New Jersey",464
34003003401,"Census Tract 34.01, Bergen County, New Jersey",73
34003003402,"Census Tract 34.02, Bergen County, New Jersey",104
34003003500,"Census Tract 35, Bergen County, New Jersey",947
34003004001,"Census Tract 40.01, Bergen County, New Jersey",350
34003004002,"Census Tract 40.02, Bergen County, New Jersey",507
34003005000,"Census Tract 50, Bergen County, New Jersey",821
34003006100,"Census Tract 61, Bergen County, New Jersey",1580
34003006201,"Census Tract 62.01, Bergen County, New Jersey",1335
34003006202,"Census Tract 62.02, Bergen County, New Jersey",636
34003006300,"Census Tract 63, Bergen County, New Jersey",2017
34003007001,"Census Tract 70.01, Bergen County, New Jersey",292
34003007002,"Census Tract 70.02, Bergen County, New Jersey",177
34003008000,"Census Tract 80, Bergen County, New Jersey",482
34003009100,"Census Tract 91, Bergen County, New Jersey",179
34003009200,"Census Tract 92, Bergen County, New Jersey",60
34003010100,"Census Tract 101, Bergen County, New Jersey",426
34003010200,"Census Tract 102, Bergen County, New Jersey",883
34003010300,"Census Tract 103, Bergen County, New Jersey",487
34003011100,"Census Tract 111, Bergen County, New Jersey",649
34003011200,"Census Tract 112, Bergen County, New Jersey",968
34003011300,"Census Tract 113, Bergen County, New Jersey",424
34003011400,"Census Tract 114, Bergen County, New Jersey",991
34003012001,"Census Tract 120.01, Bergen County, New Jersey",1725
34003012002,"Census Tract 120.02, Bergen County, New Jersey",695
34003013001,"Census Tract 130.01, Bergen County, New Jersey",2408
34003013002,"Census Tract 130.02, Bergen County, New Jersey",1447
34003014000,"Census Tract 140, Bergen County, New Jersey",422
34003015100,"Census Tract 151, Bergen County, New Jersey",197
34003015200,"Census Tract 152, Bergen County, New Jersey",1015
34003015300,"Census Tract 153, Bergen County, New Jersey",921
34003015400,"Census Tract 154, Bergen County, New Jersey",2000
34003015500,"Census Tract 155, Bergen County, New Jersey",889
34003016000,"Census Tract 160, Bergen County, New Jersey",241
34003017100,"Census Tract 171, Bergen County, New Jersey",501
34003017200,"Census Tract 172, Bergen County, New Jersey",1174
34003017300,"Census Tract 173, Bergen County, New Jersey",149
34003017400,"Census Tract 174, Bergen County, New Jersey",196
34003017500,"Census Tract 175, Bergen County, New Jersey",265
34003018100,"Census Tract 181, Bergen County, New Jersey",1873
34003018200,"Census Tract 182, Bergen County, New Jersey",1696
34003019102,"Census Tract 191.02, Bergen County, New Jersey",722
34003019103,"Census Tract 191.03, Bergen County, New Jersey",1216
34003019104,"Census Tract 191.04, Bergen County, New Jersey",676
34003019202,"Census Tract 192.02, Bergen County, New Jersey",685
34003019203,"Census Tract 192.03, Bergen County, New Jersey",531
34003019204,"Census Tract 192.04, Bergen County, New Jersey",823
34003019303,"Census Tract 193.03, Bergen County, New Jersey",1414
34003019304,"Census Tract 193.04, Bergen County, New Jersey",283
34003019305,"Census Tract 193.05, Bergen County, New Jersey",545
34003019306,"Census Tract 193.06, Bergen County, New Jersey",177
34003020100,"Census Tract 201, Bergen County, New Jersey",414
34003020200,"Census Tract 202, Bergen County, New Jersey",39
34003021100,"Census Tract 211, Bergen County, New Jersey",1518
34003021200,"Census Tract 212, Bergen County, New Jersey",1167
34003021300,"Census Tract 213, Bergen County, New Jersey",767
34003021400,"Census Tract 214, Bergen County, New Jersey",1092
34003021500,"Census Tract 215, Bergen County, New Jersey",1317
34003021600,"Census Tract 216, Bergen County, New Jersey",1119
34003022100,"Census Tract 221, Bergen County, New Jersey",117
34003022200,"Census Tract 222, Bergen County, New Jersey",78
34003023100,"Census Tract 231, Bergen County, New Jersey",1363
34003023200,"Census Tract 232, Bergen County, New Jersey",1796
34003023301,"Census Tract 233.01, Bergen County, New Jersey",118
34003023302,"Census Tract 233.02, Bergen County, New Jersey",1839
34003023401,"Census Tract 234.01, Bergen County, New Jersey",1404
34003023402,"Census Tract 234.02, Bergen County, New Jersey",1656
34003023501,"Census Tract 235.01, Bergen County, New Jersey",907
34003023502,"Census Tract 235.02, Bergen County, New Jersey",1511
34003023601,"Census Tract 236.01, Bergen County, New Jersey",781
34003023602,"Census Tract 236.02, Bergen County, New Jersey",1087
34003024100,"Census Tract 241, Bergen County, New Jersey",245
34003024200,"Census Tract 242, Bergen County, New Jersey",136
34003025100,"Census Tract 251, Bergen County, New Jersey",1185
34003025200,"Census Tract 252, Bergen County, New Jersey",312
34003026100,"Census Tract 261, Bergen County, New Jersey",280
34003026200,"Census Tract 262, Bergen County, New Jersey",230
34003027000,"Census Tract 270, Bergen County, New Jersey",75
34003028001,"Census Tract 280.01, Bergen County, New Jersey",854
34003028002,"Census Tract 280.02, Bergen County, New Jersey",495
34003029100,"Census Tract 291, Bergen County, New Jersey",1359
34003029200,"Census Tract 292, Bergen County, New Jersey",1218
34003030100,"Census Tract 301, Bergen County, New Jersey",1268
34003030200,"Census Tract 302, Bergen County, New Jersey",1509
34003030300,"Census Tract 303, Bergen County, New Jersey",947
34003030400,"Census Tract 304, Bergen County, New Jersey",1574
34003031100,"Census Tract 311, Bergen County, New Jersey",1223
34003031200,"Census Tract 312, Bergen County, New Jersey",951
34003031300,"Census Tract 313, Bergen County, New Jersey",737
34003031400,"Census Tract 314, Bergen County, New Jersey",913
34003032102,"Census Tract 321.02, Bergen County, New Jersey",186
34003032103,"Census Tract 321.03, Bergen County, New Jersey",661
34003032104,"Census Tract 321.04, Bergen County, New Jersey",139
34003032201,"Census Tract 322.01, Bergen County, New Jersey",441
34003032202,"Census Tract 322.02, Bergen County, New Jersey",563
34003033100,"Census Tract 331, Bergen County, New Jersey",233
34003033200,"Census Tract 332, Bergen County, New Jersey",287
34003033300,"Census Tract 333, Bergen County, New Jersey",778
34003034000,"Census Tract 340, Bergen County, New Jersey",795
34003035100,"Census Tract 351, Bergen County, New Jersey",457
34003035200,"Census Tract 352, Bergen County, New Jersey",219
34003036100,"Census Tract 361, Bergen County, New Jersey",438
34003036200,"Census Tract 362, Bergen County, New Jersey",198
34003037100,"Census Tract 371, Bergen County, New Jersey",275
34003037201,"Census Tract 372.01, Bergen County, New Jersey",19
34003037202,"Census Tract 372.02, Bergen County, New Jersey",1875
34003038100,"Census Tract 381, Bergen County, New Jersey",1290
34003038200,"Census Tract 382, Bergen County, New Jersey",1116
34003038300,"Census Tract 383, Bergen County, New Jersey",585
34003039100,"Census Tract 391, Bergen County, New Jersey",304
34003039200,"Census Tract 392, Bergen County, New Jersey",82
34003039300,"Census Tract 393, Bergen County, New Jersey",32
34003040001,"Census Tract 400.01, Bergen County, New Jersey",56
34003040002,"Census Tract 400.02, Bergen County, New Jersey",270
34003041100,"Census Tract 411, Bergen County, New Jersey",1552
34003041200,"Census Tract 412, Bergen County, New Jersey",1040
34003041301,"Census Tract 413.01, Bergen County, New Jersey",1295
34003041302,"Census Tract 413.02, Bergen County, New Jersey",1013
34003042100,"Census Tract 421, Bergen County, New Jersey",241
34003042301,"Census Tract 423.01, Bergen County, New Jersey",291
34003042302,"Census Tract 423.02, Bergen County, New Jersey",34
34003042400,"Census Tract 424, Bergen County, New Jersey",69
34003042500,"Census Tract 425, Bergen County, New Jersey",486
34003043001,"Census Tract 430.01, Bergen County, New Jersey",113
34003043002,"Census Tract 430.02, Bergen County, New Jersey",567
34003044100,"Census Tract 441, Bergen County, New Jersey",167
34003044201,"Census Tract 442.01, Bergen County, New Jersey",114
34003044202,"Census Tract 442.02, Bergen County, New Jersey",443
34003045100,"Census Tract 451, Bergen County, New Jersey",1516
34003045200,"Census Tract 452, Bergen County, New Jersey",492
34003046100,"Census Tract 461, Bergen County, New Jersey",895
34003046200,"Census Tract 462, Bergen County, New Jersey",364
34003046300,"Census Tract 463, Bergen County, New Jersey",914
34003047100,"Census Tract 471, Bergen County, New Jersey",193
34003047200,"Census Tract 472, Bergen County, New Jersey",192
34003047300,"Census Tract 473, Bergen County, New Jersey",33
34003047400,"Census Tract 474, Bergen County, New Jersey",1027
34003047500,"Census Tract 475, Bergen County, New Jersey",424
34003048100,"Census Tract 481, Bergen County, New Jersey",891
34003048200,"Census Tract 482, Bergen County, New Jersey",106
34003049001,"Census Tract 490.01, Bergen County, New Jersey",48
34003049002,"Census Tract 490.02, Bergen County, New Jersey",313
34003050000,"Census Tract 500, Bergen County, New Jersey",626
34003051100,"Census Tract 511, Bergen County, New Jersey",888
34003051200,"Census Tract 512, Bergen County, New Jersey",126
34003051300,"Census Tract 513, Bergen County, New Jersey",1084
34003051400,"Census Tract 514, Bergen County, New Jersey",530
34003052100,"Census Tract 521, Bergen County, New Jersey",586
34003052200,"Census Tract 522, Bergen County, New Jersey",1142
34003053100,"Census Tract 531, Bergen County, New Jersey",192
34003053200,"Census Tract 532, Bergen County, New Jersey",267
34003054100,"Census Tract 541, Bergen County, New Jersey",535
34003054200,"Census Tract 542, Bergen County, New Jersey",838
34003054300,"Census Tract 543, Bergen County, New Jersey",128
34003054400,"Census Tract 544, Bergen County, New Jersey",795
34003054500,"Census Tract 545, Bergen County, New Jersey",264
34003054600,"Census Tract 546, Bergen County, New Jersey",930
34003055100,"Census Tract 551, Bergen County, New Jersey",396
34003055200,"Census Tract 552, Bergen County, New Jersey",631
