SSN,average_distance
101,0.292949413741979
102,0.410166354176349
103,0.442488384921296
104,1.0622831371387
105,0.480498436923694
106,0.184559342931477
107,0.891275256409103
108,0.399012744116108
109,0.908877631365255
110,0.679092463105679
111,0.860475667780228
112,1.03126693784366
113,1.09067344254039
114,0.38048813912035
115,0.0357123844837247
116,0.299888166712858
117,0.801329167245721
118,0.312219506601835
119,0.253878924126662
120,0.0954650180105172
121,0.321720146865357
122,0.162897182390227
123,0.16689639950933
201,0.0530936829111979
202,0.334689678988017
203,0.168637905323459
204,0.104629541783676
205,0.251667242878354
206,0.124681568563431
207,0.155931260762308
208,0.0223644888122139
209,0.143197528218332
210,0.0937413888130742
211,0.170961788743106
212,0.187411472468802
213,0.124822626701069
214,0.105707996731182
215,0.27811805312256
216,0.248722713762493
217,0.192601452834924
218,0.0570951876030903
219,0.168761552388165
220,0.357215971465003
221,0.126387334392907
222,0.0967237556171109
223,0.150335529557703
224,0.233598860313923
225,0.0647271370679365
226,0.282475599892366
227,0.137817822096317
228,0.183787210607359
229,0.0600204684709578
230,0.288001748946387
231,0.101782702161021
232,0.222485471593802
233,0.584464907944876
234,0.24954079545105
235,0.100040770233087
236,0.0970113228065013
237,0.235338401992545
238,0.108578589169769
239,0.17068580513985
240,0.0800864985398181
241,0.193497602281607
242,0.282120095604965
243,0.30402090060826
244,0.0845968687625893
245,0.149699961108434
246,0.38596580782277
247,0.243384492075108
248,0.211636382620362
249,0.154350808471698
250,0.134785611698381
251,0.215229289840777
252,0.107345478958125
253,0.161282798149397
254,0.06135761885372
255,0.0649723121060973
256,0.232004136467494
257,0.0793533600195889
258,0.203829588240922
259,0.0201803912385737
260,0.12636287705073
261,0.240202635147893
262,0.0588853672456075
263,0.236804591989171
264,0.114061987846601
265,0.21995034821404
266,0.123011343940523
267,0.157050890098951
268,0.160015178337558
269,0.0269573514648801
270,0.151273664619015
301,0.681109019516661
302,0.370043936393881
303,0.0689336018420457
304,0.161113651925727
305,0.374894872530125
306,0.210110301480869
307,0.691557035126723
308,0.224584021375398
309,0.269138546245703
310,0.198828807090075
311,0.230231087192776
312,0.160299759173969
313,0.484765530967839
314,0.0510493001072233
315,0.376443226475319
316,0.0641625792886668
317,0.35280558164838
318,1.08599322551815
319,0.466461748646241
320,0.345835931360787
321,0.062019439522997
322,0.310344525491644
323,0.300832452465575
324,0.368582531374663
325,0.554213300352705
326,0.471904868269505
327,0.574400407184306
328,1.77759237506344
329,1.09226069784521
330,0.723020981652098
331,0.0650845543066962
332,0.616559739977621
333,0.527577411221489
334,0.421164025692628
335,0.933407993510506
336,0.573289721057904
337,0.0959528239874364
338,0.468259063086944
339,0.459440009501003
340,0.0855866572539103
401,0.120400894981548
402,0.0339752256330864
403,0.0674735141166906
404,0.189993297254475
405,0.0617960349302082
406,0.0545851932891711
407,0.0620413252359358
408,0.363373006643473
409,0.348277771954468
410,0.911887488829129
411,0.0189105817514332
412,0.105737827578882
413,0.0955666609689611
414,0.195694766311622
415,0.291857197087521
416,0.0504542620551935
417,0.17060139507466
418,0.174125087457932
419,0.0109322655777394
420,0.0724325760477683
421,0.109711836444841
422,0.176631102525738
423,0.0536443727632147
424,0.00506107386223203
425,0.0812946267535271
426,0.111009792810935
427,0.283012974512826
428,0.237984250591835
429,0.305117730241007
430,0.113645975497607
431,0.0971161928997397
432,0.0505813460004973
433,0.0794402986530705
434,0.211065364686432
435,0.722130154552204
436,0.627024678749155
437,0.140493926325655
501,1.16829599943871
502,0.373641441807349
503,0.0602411228760408
504,1.15571725272542
505,0.646846680669033
506,0.543065677145458
507,0.322347766078526
508,0.449836987943174
509,0.177375161318684
510,0.853534563673453
511,0.541313638674647
512,0.119037640712284
513,0.00742837674387725
514,0.070726522857895
515,0.270722845191851
516,1.94684794701726
601,0.553023123278498
602,2.08751246658714
603,0.530748427107394
604,3.17026171364228
605,0.964681334882959
606,0.661800620593512
607,0.399300906065705
608,1.89338944936598
609,2.18987550590061
610,0.610937908012496
611,0.0466353129409079
612,0.673516761440432
613,0.196868084447752
614,0.622119328419525
701,0.14989688221537
702,0.238106793633249
703,0.423653011954155
704,0.0947356496209093
705,0.270760662607474
706,0.220765746284641
707,0.0808737783070079
708,0.06695921082492
709,0.241060034209155
710,0.339553486183446
711,0.203398748627992
712,0.221758929912966
713,0.32446135537845
714,0.439722042622197
715,0.139310724185395
716,0.202369136632299
717,0.254884198883618
718,0.146614539153612
719,0.153967944740792
720,0.145142588503379
721,0.226968084411363
722,0.245450214148662
801,0.159853274848756
802,0.367734094076036
803,0.271164069483526
804,0.238243970559405
805,0.849864721328313
806,0.287050362661381
807,0.45100387825849
808,0.256699686367139
809,0.579693446753319
810,0.256292761873156
811,0.412866812524079
812,0.845705047358962
813,1.26333525867444
814,0.0361081700944128
815,0.351629817264904
816,0.183868090595647
817,0.448365099434325
818,0.380640810083987
819,0.339106189738606
820,0.466858044350524
821,0.161361385563527
822,0.120066103356696
823,0.173559504342276
824,0.0567791400920815
901,0.41180257076769
902,0.0931267778522619
903,0.121866110862913
904,0.153362388189818
905,0.183999472653192
906,0.407023179328352
907,0.159252211216587
908,0.110040467663513
909,0.348894040712968
910,0.168057611411712
911,0.0982489882975691
912,0.165427112757364
1001,0.567482652816773
1002,0.524989075088822
1003,0.0557727413130891
1004,0.0341441589909677
1005,0.113189975727666
1006,0.626924398473216
1007,0.569319868030997
1008,0.405394145378239
1009,0.112709118719315
1010,0.524136180891669
1011,0.108541937163452
1012,0.451157916923615
1013,0.336148596573898
1014,0.984201991981062
1015,0.598939692923241
1016,2.10441916864842
1017,0.19013977161413
1018,1.21953667851596
1019,0.202174608690771
1020,0.0767368369053518
1021,0.463099267763453
1022,0.354921648550429
1023,0.0752479648806129
1024,0.584979181971808
1025,0.269437646891833
1026,0.547229985556529
1101,0.250968063497494
1102,0.456783553203798
1103,0.380666013029546
1104,0.249758025321319
1105,2.37482669413059
1106,0.51934662124918
1107,0.277778443475713
1108,0.116169652535528
1111,0.37902285309578
1112,0.337363673998318
1113,0.450033738951527
1114,0.422753317085258
1201,0.435981011109964
1202,0.251352046419941
1203,0.119268744761264
1204,0.446159918903869
1205,0.358055803241277
1206,0.713286024374137
1207,0.147133575199704
1208,0.0424422117753042
1209,0.458082043301926
1210,0.154473036752636
1211,0.153118394765362
1212,0.14424423754517
1213,0.528446062554643
1214,0.266984124085653
1215,0.28158802671289
1216,0.414932756122003
1217,0.573771030419108
1218,0.478106362632868
1219,0.515436796695308
1220,0.473431385537777
