"SSN","avg_min_dist","prop_under_10mi"
101,0.932949308026756,1
102,0.487209573833614,1
103,0.173526558192733,1
104,2.90927658531463,1
105,0.628653289206771,1
106,0.39440460414904,1
107,2.8477204599225,0.916666666666667
108,0.376919628653178,1
109,2.02071378974113,1
110,0.749255717523628,1
111,0.669406924186754,0.976744186046512
112,1.82931461286378,1
113,1.95360418232814,0.958333333333333
114,0.19379795247267,1
115,0.0754311567672949,1
116,0.335229097418959,1
117,1.38887600984471,0.947368421052632
118,0.256051059723198,1
119,0.43780230951699,1
120,0.0933126540710605,0.8
121,0.30703107382817,1
122,0.0858976027449634,1
123,0.381619767506934,1
201,0.882700300294161,1
202,0.384839325758865,1
203,0.70273186533098,1
204,0.277937248843963,1
205,0.512912081716616,1
206,0.201517214910465,1
207,0.196130391999207,1
208,0.179772436543582,1
209,0.454231965930249,1
210,1.25922604206521,1
211,0.452202168678736,1
212,0.159292655296634,1
213,0.173978019937172,1
214,0.147855496767736,1
215,0.395196654625686,1
216,0.0575008655033779,1
217,0.23389267991682,1
218,0.195677622883204,1
219,0.144918147106587,1
220,0.566269899639432,1
221,0.426917755799693,1
222,0.173905828674661,1
223,0.132591889963536,1
224,0.205181372980844,1
225,0.0662950793055745,1
226,0.474467977454317,1
227,0.472980866496447,1
228,0.0373218817382558,1
229,0.169229214795217,1
230,0.143656803697996,1
231,0.393372766727778,1
232,0.361356028069025,1
233,0.549953846897401,1
234,0.323001235733978,1
235,0.234340263896779,1
236,0.371505493714952,1
237,0.271644201398376,1
238,0.479556347191551,1
239,0.155161355440677,1
240,0.545157771345617,1
241,0.500731824821727,1
242,0.946945708730799,1
243,0.235380098795529,1
244,0.0893503504072237,1
245,0.248897680132706,1
246,0.174550569749331,1
247,0.534108013805483,1
248,0.236851069913162,1
249,0.206026745896678,1
250,0.222183177573693,1
251,0.0898633509003942,1
252,0.140711317087887,1
253,0.331096904157173,1
254,0.115084260824,1
255,0.351039097841209,1
256,0.286196762580482,1
257,0.133889996290377,1
258,0.0941167115620735,1
