"SSN","avg_vol_opp"
101,0
102,1
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,0
111,0
112,1
113,0
114,0
115,0
116,0
117,0
118,0
119,0.25
120,0
121,0
122,0
123,0
201,0
202,0
203,0.75
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0.25
212,0.5
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0.5
222,0
223,3.25
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,1.25
234,0
235,1
236,0
237,0
238,0.25
239,0
240,0
241,0
242,0.25
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,1
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,1
301,0
302,0
303,0.75
304,0
305,0
306,0.5
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,1.25
324,1
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,1
338,0.75
339,0
340,0
401,1
402,0
403,0
404,0
405,0
406,0
407,0
408,6.5
409,2.75
410,0
411,0
412,0
413,0
414,0
415,1.5
416,0.25
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0.75
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0.75
437,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0.75
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
601,0.75
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0.75
611,0
612,0
613,0
614,0
701,0.25
702,0
703,0
704,0
705,0
706,0
707,0.5
708,0
709,0
710,3.5
711,0
712,0
713,2.75
714,11.75
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,1.5
801,0
802,1.5
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0.25
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,5.25
823,0
824,0
901,0
902,0
903,0
904,0
905,1
906,4.5
907,0
908,2
909,0.75
910,1.5
911,0
912,0
1001,0
1002,0
1003,0
1004,1
1005,0
1006,0
1007,0
1008,0
1009,3.5
1010,0
1011,0
1012,0
1013,0.75
1014,0
1015,0
1016,0
1017,0.25
1018,1
1019,0
1020,0
1021,0.5
1022,1
1023,0
1024,0
1025,0
1026,0
1101,0
1102,2.25
1103,0
1104,2
1105,0.25
1106,0
1107,1
1108,2
1111,8.75
1112,0
1113,0
1114,5.5
1201,0
1202,0
1203,0
1204,1
1205,0.75
1206,0
1207,0
1208,0
1209,1.25
1210,0
1211,1
1212,0
1213,5.75
1214,0.25
1215,0
1216,0
1217,0.25
1218,1
1219,0
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1301,0
1302,0
1303,0
1304,0.75
1305,0
1306,0
1307,0
1308,0
1309,0
1310,0
1311,0
1312,1
1313,0
1314,0
1315,0
1316,0
1317,3.5
1318,1
1319,1
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,1
1331,0
1332,2.5
1333,0
1334,0
1335,0
1336,0.5
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,1
1350,0
1351,0
1352,0.25
1353,0
1401,0.25
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,1.5
1409,0
1410,1.75
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,1
1418,0
1419,0
1420,0
1421,0
1422,0
1423,0
1424,5.75
1425,0
1426,0
1427,1
1428,1
1429,2.5
1430,0
1431,0
1432,0.75
1433,0
1434,0
1435,0.25
1436,0
1437,0
1438,0
1439,1
1501,0
1502,0
1503,0
1504,0
1505,0
1506,0
1507,0
1508,8
1509,0
1510,0
1511,0
1512,0
1513,1
1514,0
1515,1.25
1516,0
1517,0
1518,0
1519,0.75
1520,0
1521,0
1522,0
1523,0
1524,0
1525,0
1526,0
1527,0
1528,0
1529,0
1530,0
1531,0
1532,0
1533,0.25
1601,0
1602,1.25
1603,0
1604,0
1605,0
1606,0
1607,0
1608,4
1609,1
1610,0
1611,0
1612,0
1613,1
1614,5.75
1615,1.25
1616,0
1701,0
1702,0.25
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,0
1715,0
1801,0.5
1802,0
1803,0
1804,0
1805,1.5
1806,2.5
1807,0
1808,0
1809,0
1810,0.25
1811,1
1812,0
1813,0
1814,0
1815,0
1816,0
1817,0
1818,3.25
1819,0
1820,0
1821,0
1901,1
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0.75
2001,0
2002,0
2003,1.25
2004,1.75
2005,0
2006,0
2007,2
2008,1
2009,0
2010,0.5
2011,0.5
2012,0
2013,1
2014,0
2015,0
2016,0
2017,0
2018,1
2019,0
2020,1.5
2021,0
2101,0
2102,0
2103,0
2104,0
2105,2
2106,0
2107,0
2108,0.25
2109,0
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,0
2117,0
2119,2.75
2120,0
2121,0
2122,1
2123,0
