"SSN","index","ce","co","econ","he","pe","re"
101,57.750793194654,66.4637158338075,53.2163574237077,30.4165145119521,93.320862137071,38.7234649728697,64.3638442885158
102,50.2026048068511,64.517982065738,37.0588983669258,24.4131078000539,93.9859730426807,21.746305899115,59.4933616665932
103,54.7381407116019,66.3894378554476,44.2117354741774,35.9052938214897,93.0401214179151,26.0571035036993,62.8251521968823
104,54.5814256629556,66.3799593305928,56.3018132267811,28.4033322436968,68.8820332119301,40.4839385630871,67.0374774016455
105,58.5864394753195,66.7782827538655,61.614019138305,24.1844532486402,89.3999771074833,43.6932051484073,65.8486994552157
106,58.3673514085915,66.673501602912,64.1836754337694,20.2152704016739,96.552239138151,40.2865087483859,62.2929131266567
107,53.9174722286184,66.3808763929276,49.7508628941096,23.888650960346,72.2448241037836,43.9030443690073,67.3365746515366
108,58.3491917358201,67.7769397767863,52.5538446849835,27.6919875878507,91.8904075011963,43.9655571332296,66.2164137308741
109,55.8825437795617,66.7086814023161,53.8406518108396,27.7654339328909,79.1669338109125,45.0560193198769,62.7575424005339
110,58.4068415692861,66.7479262037149,61.4226059113224,23.1252670827857,87.1461156660183,44.8513101897807,67.1478243620947
111,56.8061433361455,67.7351589104086,44.6470212358935,34.4342549045269,85.5699751387839,40.711116765171,67.7393330620892
112,54.8490687262617,67.5234382050333,44.2096974255693,31.9411181847071,75.0226483769888,43.1233617971567,67.2741483681151
113,55.8932905428888,66.2147796774988,51.9324515009791,37.0004384716083,69.4567164754086,42.5784991506234,68.1768579812147
114,58.8100019733225,67.1689219265674,45.7602314791051,37.5553450367183,92.4775470017191,43.2442493679146,66.6537170279104
115,60.3114645366376,66.6690242554799,65.6039278660493,25.3954679103112,99.3179456880441,40.8525342195223,64.0298872804186
116,54.8152649674285,65.6148854552323,35.8179024114857,48.8545433292458,91.8040823190159,21.7629413331452,65.0372349564462
117,57.0658114294934,66.7403146072101,58.214304957231,24.8900688410705,81.9850535615111,42.5333686898237,68.0317579201139
118,57.8777720287585,66.9738003062474,36.949206323123,40.2218405774816,93.2826187266424,42.8757120120014,66.963454227055
119,55.5355251458085,66.8634721034453,47.1446158639604,20.8495655564785,95.072708059919,39.7378250581513,63.5449642328966
120,59.8866215865297,66.7088553559635,64.2644066847646,23.2499710778622,93.5013470652144,45.3104833825219,66.2846659528514
121,56.501548004472,67.0056532981035,45.7548074748671,31.8296483168008,91.0644735828538,36.9115880604484,66.4431172937583
122,53.7173707855386,66.5042218226714,44.4922948104886,29.78447584531,96.9742481472429,21.545686077672,63.0032980098468
123,57.9708481300084,66.6757510036017,64.4383036171736,22.1911359847564,96.81156826014,41.1400068041501,56.5683231102285
201,61.8391102208168,66.3569972154566,63.733880387826,31.9917957625552,95.6429871366389,44.4143367834572,68.8946640389668
202,62.8009804957227,66.6711246977989,63.1530326736789,32.7600416662193,91.1082560618099,58.5624761738369,64.5509517009925
203,61.0145740806512,66.5124149823734,62.822845091551,36.317283026995,94.1338537270786,37.8192069273685,68.4818407285408
204,59.7771834981578,66.4169809467251,64.4107874609134,30.1946786440688,97.1499079001188,32.8712870170907,67.6194590200298
205,61.5319655032196,66.409307124748,65.3243197093236,28.5652192141763,95.6806199096032,46.765497985124,66.4468290763427
206,57.8507660367292,66.6617946067112,62.4091501589523,35.3474680809785,96.8404929298477,20.2064285502672,65.6392618936183
207,60.9696452240379,66.2309690619823,62.4662961653866,35.6945864350737,91.5854469976406,42.189885569425,67.6506871147195
208,60.8725635679256,66.6360034933479,64.5776592317409,31.0695637552053,95.8841424028648,38.1398806240297,68.928131900365
209,61.0250514390665,66.766284164218,65.0358877096718,32.7042542615518,93.7585670898626,42.1959140023184,65.6894014067762
210,60.4209074828734,66.0082377596353,61.3764720266657,34.555241306028,93.4380715891294,37.4597285167467,69.6876936990351
211,59.9508819358066,64.9352593997752,62.8022834580128,34.8943271703973,95.728875474252,34.2429805820689,67.1015655303332
212,59.9960206790959,66.5103226143117,65.7611560857608,28.6631810113257,97.1372668438091,34.28891377975,67.6152837396182
213,60.4287088372689,66.6764286535097,63.9957395308835,32.6244946262826,97.1048975741438,39.0443300298625,63.1263626089316
214,61.3863574041466,66.5979831907945,65.5352442909618,26.2232444999356,98.3252922961415,43.5632293270771,68.0731508199693
215,61.3871856162261,65.9194401738023,61.8806992392795,39.8629975378404,92.7134711661651,39.7042890429217,68.2422165373478
216,60.9058351087634,66.6940585757411,65.5748767673403,29.4302068208806,94.8884968291387,41.8052735152567,67.042098144223
217,61.5494050214873,67.3293601365746,63.038539639077,37.9995120556151,96.7528839716239,35.5253416789375,68.6507926470958
218,57.8484465526707,66.3350901988277,64.9696092005266,26.4366351760074,97.9894075486176,26.6460275800065,64.7139096120386
219,58.5221713161594,64.7419597462012,61.284130544595,43.2862489186305,90.336892445113,27.1229307999709,64.3608654424455
220,61.6024490497305,66.9426115712444,61.8529071771515,34.4213927682073,94.1387334077998,43.0571474088876,69.2019019650925
221,57.1861852665596,65.07577121174,65.2246743164082,28.1377179562358,96.2148173031749,24.0728100064276,64.3913208053713
222,61.9460362123104,64.1166162140505,64.2978444215187,34.4093954815844,97.9525306133522,40.7631223303829,70.1367082129738
