"SSN","under40","over40","over16","prop_under40","prop_over40"
101,2362.85135247938,4081.42967644007,6855.9235199048,0.344643773463825,0.59531435328741
102,12522.1265152121,16364.216042151,29802.6955036555,0.420167582280476,0.549085100042169
103,1929.67025086639,5478.55634763399,8093.49555875764,0.238422352475176,0.676908550558958
104,1434.02402719462,1740.55624336682,3425.71914129572,0.418605252808968,0.5080849221949
105,2353.31849205628,3355.70207390441,5990.45196130973,0.392844898390899,0.560175107918023
106,135.830039280052,350.71899859364,506.826647372331,0.26800098215883,0.691990053032849
107,1343.15678924324,1615.31106356164,3085.34116721806,0.435334932653273,0.523543743144007
108,13851.5095350254,21585.9896367814,36160.6060448953,0.383055237454483,0.596947673110932
109,833.982830485044,2153.00861224621,3111.82504098639,0.268004408827781,0.691879711708903
110,511.40304310319,852.1219124635,1421.57723366813,0.359743411044649,0.599420061240534
111,12935.5311710419,16636.5537016547,30796.9545879061,0.420026309228692,0.540201260945063
112,8381.2684736327,11813.7845227051,20455.6958561722,0.409727859299578,0.577530317510093
113,3955.68268197572,6584.65386566255,11126.2364474382,0.355527468849227,0.591813224244274
114,1213.92878932945,2893.59073642913,4478.54936286879,0.271054015702944,0.646099998454768
115,20.1423742686447,70.0621743530886,96.5298315433936,0.2086647614172,0.725808521913697
116,1144.59863704414,3667.57386427341,5342.63511281724,0.214238594415365,0.686472833503962
117,1417.45689281513,3200.52093693536,4773.748516336,0.296927433015067,0.670441881465483
118,2270.83134033771,4106.6977436394,6647.31020844248,0.341616574092423,0.617798419941896
119,6968.28958794775,8050.96367345772,15251.8583270405,0.456881347736718,0.527867719514802
120,243.75136102672,583.214672412946,925.41366775729,0.263397191460813,0.630220508657872
121,2816.15698532314,4954.31181112839,7963.16362607181,0.353648011966361,0.622153712239156
122,2443.97006054956,5605.7622621593,8811.20674687468,0.277370640680567,0.636208231539642
123,185.582241640647,477.192300753282,690.287602994646,0.26884771048407,0.691294901839608
201,1486.54466217958,3443.14453157584,5122.46509114043,0.290201033238984,0.67216554340818
202,344.86122759974,889.299449699432,1294.32473244107,0.266441039838078,0.687075992144748
203,8658.95405687906,12521.6612284302,22010.4966967234,0.393401120210435,0.568894986831181
204,2735.34530797471,3716.22318897358,6618.77281971367,0.413270765213096,0.561467101258559
205,2018.45823932028,2835.02726243597,5275.32362186866,0.382622637775783,0.537412956180256
206,8148.32341916831,12019.7111632353,21419.7150103764,0.38041231712098,0.56115177804245
207,2160.08743457116,4548.91531720508,6942.17226709746,0.311154398286676,0.655258201926902
208,2306.64741848614,4194.48547778802,6605.44833729059,0.349203763424222,0.635003903385081
209,997.521470664747,2629.17007806367,3704.74781361855,0.26925489151998,0.70967585658568
210,4948.80563446609,8492.57955968908,14267.5167826203,0.346858231174073,0.595238799370759
211,6707.50346096733,8882.70305520542,16058.8433819527,0.417682849345512,0.553134671279502
212,3792.34055397269,3830.69636211278,8020.36916347238,0.472838653268525,0.477620952855779
213,5153.77810269144,5288.05165517264,11024.9852829522,0.46746349046476,0.479642513750063
214,1945.46941666065,3975.81790984388,6188.11235221489,0.314388185916553,0.642492844917535
215,8349.65893075483,14132.8196871031,23290.7596650903,0.358496633464036,0.606799429916678
216,974.743890204041,3093.51556816342,4412.47721284099,0.220906271734931,0.701083636004015
217,9127.8388030786,16166.6803330662,26555.3020950001,0.343729428135453,0.608792936161328
218,5599.62198062152,5827.29292233386,12006.6297828264,0.466377499923493,0.485339602181197
219,10094.7377279361,19137.4527658534,31885.5242855817,0.316593123497763,0.600192507247156
220,2646.68283519384,5898.91664521223,8934.83297791102,0.296220739854573,0.660215659296119
