"SSN","business_vacancy_rate","all_businesses","prevalent_type"
"1001",0.166969786431506,141,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1002",0.0568731917180394,144,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1003",0.00266313049674879,66,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1004",0.00635018141117964,128,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1005",0.0635128685645467,417,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1006",0.25825545292511,578,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1007",0.000607881310809952,164,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1008",0.000119495495901744,177,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1009",0.118834684044985,669,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"101",0.266162569511904,463,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1010",0.0172679054250909,221,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1011",0.00573540889865674,98,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1012",0.0928334996836257,48,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1013",0.0922799362966309,45,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1014",0.0825178904960845,127,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1015",0.0770681586408436,105,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1016",0.166364881656274,425,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1017",0.0395288165876929,373,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1018",0.184990821010251,254,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1019",0.209391653897764,217,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"102",0.701742880240414,2079,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1020",0.00738926767290717,98,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1021",0.455358233135645,1443,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1022",0.283656900321275,777,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1023",0,69,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1024",0.00788125948630649,210,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1025",0.148539934129383,204,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1026",0.00245952263496178,183,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"103",0.131124666898881,309,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"104",0,130,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"105",2.93748545975556e-05,231,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"106",0.00162299514565803,18,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"107",0.121491881784461,260,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"108",NA,1826,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"109",0.0100069856027081,40,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"110",0.000486181134714193,93,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1101",0.197968467845513,814,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1102",0.121051355985992,1746,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1103",0.639766346241258,4331,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1104",0.000178071779610161,386,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1105",0.0259125015819145,254,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1106",0.0580044572096216,959,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1107",0.129807080511665,2062,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1108",0.00430215791696398,286,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"111",NA,1270,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1111",NA,3010,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1112",0.0315432838046154,618,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1113",0.0837154471276475,2145,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1114",0.384033684201842,1912,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"112",0.0502004843091085,952,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"113",0.224830264534134,1006,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"114",0.0747234775937995,666,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"115",1.04235668543508e-07,38,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"116",0.129023641056855,363,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"117",3.23743136634511e-05,128,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"118",0.0873120504758104,828,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"119",0.12976950248854,844,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"120",1.57550013563883e-05,36,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1201",0.5563501728099,561,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1202",0.00141700607959176,501,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1203",0.076975965390002,358,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1204",0.780586687367335,2909,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1205",2.13385759932173,5217,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1206",7.61789599155545e-05,42,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1207",0.241789886163739,671,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1208",0.104709813729627,223,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1209",1.5758381879772,2083,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"121",0.0668965921010737,851,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1210",0.283427934046066,1160,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1211",0.184241271128284,737,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1212",0.0382361842432615,314,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1213",0.53997029449844,1291,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1214",0.542379444743198,3225,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1215",0.670646164607737,1612,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1216",1.00478686738601,1511,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1217",0.749526852911306,1779,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1218",0.414977326340875,1146,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1219",0.939565998357031,1286,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"122",0.129407503532561,401,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1220",0.217361576862583,258,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1221",0.856084050129969,1848,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1222",0.446105369938522,1458,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1223",0.343933475426119,526,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1224",0.168452724960496,295,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1225",2.65748570826961,4127,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"123",0.0022060928562678,56,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1301",NA,75,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1302",5.29709976795705e-06,106,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1303",0.124160639266504,881,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1304",0.060132124292621,301,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1305",NA,132,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1306",0.0102307343723972,365,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1307",NA,181,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1308",0.0034603872219895,257,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1309",0.000366032705137213,509,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1310",0.00696113205868736,78,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1311",0.140155880234351,1343,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1312",4.84371951255713e-06,120,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1313",0.00514560276545443,235,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1314",0.0181304660302388,181,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1315",0.188958945702256,857,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1316",0.108982864132855,2546,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1317",6.01091632011136e-05,172,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1318",0.132127745505834,887,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1319",NA,1971,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1320",0.00274553500655412,9,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1321",0.146069061842231,214,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1322",0.229400017549095,443,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1323",0.00720717922755658,430,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1324",0.000666938494591556,25,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1325",0.499184697103933,1412,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1326",0.0254195704210911,1814,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1327",0.0883149977098745,415,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1328",0.135187281224387,1470,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1329",0.0107072302308017,706,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1330",0.244891276282298,503,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1331",NA,2526,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1332",0.000441650784132667,397,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1333",0.00149690003923782,119,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1334",NA,1485,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1335",0.00501475068016179,635,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1336",0.0432395260946263,1009,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1337",0.10155196041799,1476,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1338",0.0509065129494777,209,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1339",0.271334297077204,910,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1340",0.0543229060814468,1885,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1341",0,32,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1342",0.0248509049035781,252,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1343",NA,85,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1344",0.000333943222844186,153,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1345",0.0402467936910451,919,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1346",0.00176230753595661,5,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1347",0.0120802222578506,97,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1348",0.000420825860882945,308,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1349",1.18649226337646e-05,213,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1350",0.197912875138434,113,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1351",5.55702568267549e-05,279,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1352",0.0779815158973897,2438,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1353",0.0345746483601059,592,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1401",0.138048090231842,745,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1402",0.372957100946734,119,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1403",0.20145535167782,578,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1404",0.0419143347357428,652,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1405",0.178645581577204,291,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1406",0.0544707925455939,510,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1407",0.0918454887821481,235,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1408",0.40014858398677,1427,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1409",0.202486810712876,959,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1410",0.220065459656804,1047,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1411",0.134944251627838,1262,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1412",0.310692737209586,1256,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1413",0.0189689605531397,195,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1414",0.237708144617047,771,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1415",0.234944479759212,342,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1416",0.243963106216642,425,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1417",0.174131090492187,887,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1418",0.0481788166253726,394,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1419",0.000347944010627577,144,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1420",0.0731725105922468,144,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1421",0.44024919748755,1224,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1422",0.0868923825925115,1540,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1423",0.152566443686379,429,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1424",0.259239731323568,2612,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1425",0.111425236551698,312,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1426",0.102105317485318,234,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1427",0.519714594344586,1059,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1428",0.101856173661495,187,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1429",1.48431950480378,3265,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1430",0.522810548798443,456,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1431",0.123482540725325,911,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1432",0.26831330213744,1184,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1433",0.181224339039566,366,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1434",0.102635783901299,699,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1435",0.443716342534453,782,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1436",0.71894042220372,1287,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1437",0.0876842305708884,40,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1438",0.258585918100971,611,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1439",0.0663677199446303,255,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1501",NA,68,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1502",0.000136234018419807,261,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1503",4.0311331618465e-07,261,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1504",0.111060203414023,222,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1505",NA,900,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1506",0.281691211868763,3147,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1507",0.660179860820674,5471,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1508",0.000195272207809223,122,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1509",1.50942493148159e-05,41,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1510",0.0063640605420124,118,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1511",0.0545669887211706,1636,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1512",0.0012168921141913,1208,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1513",0.0531696535769246,161,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1514",0.582382848233106,3486,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1515",0.00494164148234061,128,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1516",NA,565,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1517",NA,197,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1518",0.735181930323712,814,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1519",4.47882621654964e-05,15,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1520",0,240,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1521",0.000748570342429331,48,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1522",0.00225494075769697,66,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1523",0.0750030636793161,304,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1524",0.0459261821973827,757,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
"1525",0.00716204229412319,479,"Mining..Quarrying..and.Oil.and.Gas.Extraction"
