"SSN","x.x","x.y","x"
"0101",38.8333333333333,6,7
"0102",44.4895833333333,61,37
"0103",43.8333333333333,8,4
"0104",37.7142857142857,3,4
"0105",37.8461538461538,6,8
"0106",31.6666666666667,1,2
"0107",41.8181818181818,5,6
"0108",42.8305084745763,35,26
"0110",37,0,1
"0111",37.8260869565217,14,33
"0112",38.7096774193548,12,19
"0113",40.8,15,15
"0114",33.6,2,4
"0115",46.5,1,1
"0116",41.5,3,3
"0117",39.1666666666667,5,7
"0118",39.75,5,7
"0119",45.16,17,9
"0121",41.6,8,7
"0122",43.4230769230769,15,13
"0123",43.6,2,3
"0201",26.75,1,2
"0202",25.5,0,2
"0203",37.3333333333333,2,5
"0204",38.5,1,1
"0205",45,2,3
"0206",40.6153846153846,9,5
"0207",31,1,4
"0208",41,1,0
"0209",54,1,0
"0210",42,4,3
"0211",40,6,7
"0212",39.7142857142857,4,3
"0214",38.3333333333333,2,2
"0215",46.1666666666667,5,1
"0216",57,1,0
"0217",41.6,5,5
"0218",46.75,3,1
"0219",39.75,6,6
"0220",27.6666666666667,0,3
"0221",39.1538461538462,11,16
"0222",48.3333333333333,2,1
"0223",41.3181818181818,13,11
"0224",41,1,1
"0225",22.3333333333333,0,3
"0226",22,0,1
"0227",38.5,1,1
"0230",43.75,5,3
"0231",44.5833333333333,7,5
"0232",40.6315789473684,10,9
"0233",35.8333333333333,2,4
"0234",55.2,5,1
"0235",39,0,1
"0237",40.5,1,1
"0238",33.8571428571429,2,5
"0239",42.9,5,5
"0240",31.3333333333333,0,3
"0241",51,1,0
"0242",42.2,3,2
"0244",34.6666666666667,1,2
"0245",37.5714285714286,2,5
"0246",46.6666666666667,6,4
"0247",42,2,1
"0248",39.4,2,4
"0249",40,1,1
"0250",41,4,4
"0251",46,1,0
"0252",23.5,0,2
"0253",31,1,3
"0254",33,1,2
"0256",41.7777777777778,5,4
"0257",41.2222222222222,4,5
"0258",37.5,1,1
"0259",49,1,0
"0260",42.4,6,4
"0261",47,2,0
"0263",31,0,2
"0264",51,1,0
"0265",39.2,5,6
"0266",58,3,0
"0267",39.5714285714286,3,4
"0268",51,1,0
"0269",38.75,1,3
"0270",28,0,4
"0301",18,0,1
"0302",43.6,5,5
"0303",32.6666666666667,1,2
"0304",38.5714285714286,2,5
"0305",34.7142857142857,6,15
"0306",41.4166666666667,6,6
"0307",19,0,1
"0308",47.875,7,2
"0309",43.6666666666667,4,2
"0310",37.5,6,10
"0311",46.5,1,1
"0312",42,6,3
"0313",37.6785714285714,11,17
"0315",36.7,3,7
"0316",41,5,4
"0317",41.4545454545455,5,6
"0318",34.875,2,6
"0319",42.3181818181818,13,11
"0320",35.3571428571429,4,10
"0322",39.1111111111111,4,5
"0323",41.4166666666667,13,12
"0324",35.4333333333333,9,21
"0326",37.875,3,5
"0327",42.7857142857143,6,8
"0328",41.75,2,2
"0329",37.6122448979592,21,32
"0330",42.2142857142857,9,7
"0331",35.6666666666667,1,5
"0332",34,1,2
"0333",38.375,4,4
"0334",38.5714285714286,4,3
"0335",41.75,4,5
"0336",24,0,1
"0337",32.25,0,4
"0338",41.0740740740741,15,12
"0340",25,0,1
"0401",36.2857142857143,2,6
"0402",43,1,1
"0403",38.4,6,4
"0404",37.0384615384615,8,18
"0405",39.7142857142857,1,6
"0406",43.5,4,4
"0407",42.6666666666667,5,4
"0408",43,97,66
"0409",35.4893617021277,15,33
"0410",35,1,3
"0411",34,2,13
"0412",38.4,7,13
"0413",29.3333333333333,0,3
"0414",41.9583333333333,26,24
"0415",39.2584269662921,37,53
"0416",37.125,5,12
"0417",23,0,1
"0418",39.4,2,3
"0419",39,0,1
"0420",33.5,0,2
"0421",41.3333333333333,1,2
"0422",40.1944444444444,16,20
"0423",34.5,1,9
"0424",40.4,3,2
"0425",42.6,3,3
"0426",43.2222222222222,6,3
"0427",39.6857142857143,16,20
"0428",40.4545454545455,10,12
"0430",37.25,5,11
"0431",38.375,3,5
"0432",35.5,7,8
"0434",36.5882352941176,7,13
"0435",37,4,8
"0436",37.2682926829268,17,25
"0437",45.25,2,2
"0501",52,1,0
"0504",38.3333333333333,1,2
"0505",38.8611111111111,14,22
"0506",39.2068965517241,12,16
"0507",56.25,4,0
"0508",40.7368421052632,9,11
"0509",54,1,0
"0511",39.7,5,5
"0512",52,3,0
"0513",44,1,1
"0514",42.6923076923077,6,7
"0515",32.5,1,3
"0516",42.8,3,2
"0601",41.8095238095238,13,10
"0602",38.0909090909091,4,7
"0603",41.5,1,1
"0604",42,1,0
"0605",37,1,3
"0606",52,1,0
"0607",35.3333333333333,1,2
"0608",39,1,2
"0609",43.2,3,2
"0610",41.1060606060606,31,37
"0612",39,0,1
"0613",42,2,3
"0614",40.847619047619,53,55
"0701",40.7560975609756,22,19
"0702",41.4285714285714,21,17
"0703",48.4,4,1
"0704",39.7272727272727,6,6
"0705",50.3972602739726,63,9
"0706",26.5,0,2
"0707",29.6666666666667,0,3
"0709",49.8490566037736,41,12
"0710",36.6363636363636,4,7
"0711",46,4,3
"0712",35,1,1
"0713",43.6,8,7
"0714",47.3645083932854,306,121
"0715",22,0,1
"0716",40.5238095238095,10,12
"0717",46.3333333333333,14,8
"0718",22,0,1
"0719",41.3333333333333,2,1
"0720",47.4,4,1
"0721",37.8,2,4
"0722",38.5,8,14
"0801",36.7142857142857,4,10
"0802",37.1020408163265,18,31
"0803",41.1428571428571,4,3
"0804",42.6,2,3
"0805",38.0740740740741,9,18
"0806",36.2941176470588,6,11
"0807",35.3333333333333,1,2
"0808",37.6666666666667,4,5
"0809",40.8571428571429,3,4
"0810",42,12,8
"0811",38.8571428571429,19,31
"0812",41.7777777777778,6,3
"0813",48,1,0
"0814",41.3157894736842,8,11
"0815",36.8,5,10
"0816",34,1,2
"0817",46.3333333333333,2,1
"0818",32.6101694915254,11,49
"0820",40.2941176470588,16,19
"0821",38.8333333333333,4,8
"0822",44.25,11,9
"0823",30.3333333333333,0,6
"0824",43.25,3,1
"0901",42.3134328358209,40,28
"0902",54.5,2,0
"0903",35,0,4
"0904",36.875,3,5
"0905",43.5862068965517,17,13
"0906",45.2331288343558,109,56
"0907",41.9166666666667,11,13
"0908",41.5172413793103,16,13
"0909",46.7142857142857,4,3
"0910",40.8181818181818,11,11
"0911",31.5,1,3
"0912",34.9,4,6
"1001",39.3333333333333,1,2
"1002",36.5,1,1
"1003",31,0,1
"1004",47,1,0
"1005",35,0,1
"1006",41.3333333333333,2,2
"1007",27,0,1
