municipality,ndvi
absecon city,0.478287703
atlantic city,0.293692125
brigantine city,0.318956896
buena boro,0.532303382
buena vista twp,0.640182868
corbin city,0.567856465
egg harbor city,0.707151844
egg harbor twp,0.58260944
estell manor city,0.718746851
folsom boro,0.642353404
galloway twp,0.504206129
hamilton twp,0.681181186
hammonton town,0.573218452
linwood city,0.593325328
longport boro,0.049046423
margate city,0.363928564
mullica twp,0.68993459
northfield city,0.589100723
pleasantville city,0.442472557
port republic city,0.636619387
somers point city,0.480904168
ventnor city,0.407063102
weymouth twp,0.711260271
allendale boro,0.693766323
alpine boro,0.706313385
bergenfield boro,0.521418366
bogota boro,0.352764282
carlstadt boro,0.366883572
cliffside park boro,0.339457145
closter boro,0.642822327
cresskill boro,0.545169043
demarest boro,0.588434521
dumont boro,0.547392859
elmwood park boro,0.356174607
east rutherford boro,0.374888094
edgewater boro,0.351021427
emerson boro,0.575695239
englewood city,0.594013739
englewood cliffs boro,0.629972852
fair lawn boro,0.44515769
fairview boro,0.357210718
fort lee boro,0.431845247
franklin lakes boro,0.696688627
garfield city,0.28386142599999997
glen rock boro,0.539352861
hackensack city,0.380944161
harrington park boro,0.685161898
hasbrouck heights boro,0.388888094
haworth boro,0.641410205
hillsdale boro,0.57785714
ho-ho-kus boro,0.540375723
leonia boro,0.517542847
little ferry boro,0.354348574
lodi boro,0.337519995
lyndhurst twp,0.429789288
mahwah twp,0.739602202
maywood boro,0.414125713
midland park boro,0.628474992
montvale boro,0.572435715
moonachie boro,0.401569051
new milford boro,0.542781436
north arlington boro,0.388420235
northvale boro,0.642509538
norwood boro,0.659820532
oakland boro,0.711990132
old tappan boro,0.606328569
oradell boro,0.573669043
palisades park boro,0.415723804
paramus boro,0.519913056
park ridge boro,0.572628578
ramsey boro,0.691089049
ridgefield boro,0.399847963
ridgefield park village,0.405156124
ridgewood village,0.560666667
river edge boro,0.527944051
river vale twp,0.6502875
rochelle park twp,0.398207137
rockleigh boro,0.627038102
rutherford boro,0.404130356
saddle brook twp,0.358408165
saddle river boro,0.662528099
south hackensack twp,0.29023571
teaneck twp,0.516866195
tenafly boro,0.58282662
teterboro boro,0.322689282
upper saddle river boro,0.642895602
waldwick boro,0.612021426
wallington boro,0.289152384
washington twp,0.546294901
westwood boro,0.543922616
woodcliff lake boro,0.625970532
wood-ridge boro,0.357346429
wyckoff twp,0.686819647
bass river twp,0.652156552
beverly city,0.457642847
bordentown city,0.663853564
bordentown twp,0.641241304
burlington city,0.470485712
burlington twp,0.557078954
chesterfield twp,0.681536332
cinnaminson twp,0.513773408
delanco twp,0.511026625
delran twp,0.534007541
eastampton twp,0.669070978
edgewater park twp,0.593451025
evesham twp,0.65279819
fieldsboro boro,0.563264307
florence twp,0.562458788
hainesport twp,0.654277854
lumberton twp,0.618621877
mansfield twp,0.645545842
maple shade twp,0.507717261
medford twp,0.710412503
medford lakes boro,0.606828564
moorestown twp,0.635306964
mount holly twp,0.623174491
mount laurel twp,0.576324933
new hanover twp,0.603631155
north hanover twp,0.693846599
palmyra boro,0.363864286
pemberton boro,0.675610718
pemberton twp,0.679931473
riverside twp,0.51299
riverton boro,0.275053577
shamong twp,0.675244127
southampton twp,0.695773541
springfield twp,0.68036039
tabernacle twp,0.637553658
washington twp,0.643024724
westampton twp,0.615960479
willingboro twp,0.584547141
woodland twp,0.628939213
wrightstown boro,0.670044043
audubon boro,0.534771436
audubon park boro,0.503969653
barrington boro,0.558538564
bellmawr boro,0.507937299
berlin boro,0.539549282
berlin twp,0.528329362
brooklawn boro,0.353996423
camden city,0.251330772
cherry hill twp,0.532251209
chesilhurst boro,0.707774277
clementon boro,0.524628564
collingswood boro,0.411535723
gibbsboro boro,0.640626196
gloucester city,0.298259182
gloucester twp,0.585304481
haddon twp,0.5031875
haddonfield boro,0.584854769
haddon heights boro,0.557958936
hi-nella boro,0.541371423
laurel springs boro,0.550707153
lawnside boro,0.549548206
lindenwold boro,0.58180070800000006
magnolia boro,0.477030957
merchantville boro,0.470139282
mount ephraim boro,0.499667871
oaklyn boro,0.495959538
pennsauken twp,0.353140885
pine hill boro,0.603338965
pine valley boro,0.651228564
runnemede boro,0.493994043
somerdale boro,0.494416064
stratford boro,0.555601782
tavistock boro,0.576614282
voorhees twp,0.612040147
waterford twp,0.677917966
winslow twp,0.634649335
woodlynne boro,0.349921436
avalon boro,0.394008676
cape may city,0.511722616
cape may point boro,0.044357144
dennis twp,0.748141998
lower twp,0.595670074
middle twp,0.644266268
north wildwood city,0.226774999
ocean city,0.101750949
sea isle city,0.423827384
stone harbor boro,0.144663098
upper twp,0.654272184
west cape may boro,0.749324287
west wildwood boro,0.220667859
wildwood city,0.303584282
wildwood crest boro,0.23365286
woodbine boro,0.72435065
bridgeton city,0.590384524
commercial twp,0.676754762
deerfield twp,0.626069105
downe twp,0.650514392
fairfield twp,0.633669488
greenwich twp,0.652452914
hopewell twp,0.63713092
lawrence twp,0.647467409
maurice river twp,0.698529208
millville city,0.608614283
shiloh boro,0.601142847
stow creek twp,0.666944755
upper deerfield twp,0.592665749
vineland city,0.582643292
belleville twp,0.441611037
bloomfield twp,0.56800604
caldwell boro,0.561408923
cedar grove twp,0.563167855
east orange city,0.404764285
essex fells boro,0.603861898
fairfield twp,0.660832908
glen ridge boro,0.523717871
irvington twp,0.355961906
livingston twp,0.627976446
maplewood twp,0.615369047
millburn twp,0.663811637
montclair twp,0.598627676
newark city,0.25679706
north caldwell boro,0.581299997
nutley twp,0.460176779
city of orange twp,0.435267859
roseland boro,0.649576629
south orange village twp,0.639554761
verona twp,0.590303062
west caldwell twp,0.578025274
west orange twp,0.609649762
clayton boro,0.641253567
deptford twp,0.611951518
east greenwich twp,0.616352677
elk twp,0.612842714
franklin twp,0.673845386
glassboro boro,0.512983141
greenwich twp,0.36640048
harrison twp,0.611788243
logan twp,0.46808612
mantua twp,0.609893195
monroe twp,0.650714703
national park boro,0.216139291
newfield boro,0.654951196
paulsboro boro,0.248101015
pitman boro,0.581490813
south harrison twp,0.622472109
swedesboro boro,0.555240479
washington twp,0.556308444
wenonah boro,0.624703564
west deptford twp,0.452687874
westville boro,0.321251782
woodbury city,0.564268359
woodbury heights boro,0.594473796
woolwich twp,0.59817033
bayonne city,0.013969048
east newark boro,0.285423218
guttenberg town,0.213407153
harrison town,0.194208926
hoboken city,0.172814282
jersey city,0.230082059
kearny town,0.306478811
north bergen twp,0.343902378
secaucus town,0.384212698
union city,0.190955356
weehawken twp,0.124414282
west new york town,0.163746429
alexandria twp,0.757807746
bethlehem twp,0.76391457
bloomsbury boro,0.673880957
califon boro,0.730033333
clinton town,0.671295231
clinton twp,0.720075081
delaware twp,0.690832963
east amwell twp,0.731579333
flemington boro,0.569426188
franklin twp,0.744598332
frenchtown boro,0.730525
glen gardner boro,0.762811914
hampton boro,0.738314282
high bridge boro,0.752528573
holland twp,0.752687122
kingwood twp,0.745075746
lambertville city,0.576353589
lebanon boro,0.669971436
lebanon twp,0.773424913
milford boro,0.770583333
raritan twp,0.688492411
readington twp,0.75313821
stockton boro,0.725371411
tewksbury twp,0.761598568
union twp,0.742719671
west amwell twp,0.708890889
east windsor twp,0.641840178
ewing twp,0.630216785
hamilton twp,0.601264615
hightstown boro,0.593008923
hopewell boro,0.730017847
hopewell twp,0.74909035
lawrence twp,0.656968914
pennington boro,0.637978581
trenton city,0.477803403
robbinsville twp,0.674848626
west windsor twp,0.70067303
princeton,0.72307997
carteret boro,0.331413688
cranbury twp,0.607090756
dunellen boro,0.592959538
east brunswick twp,0.570264542
edison twp,0.509590749
helmetta boro,0.761742855
highland park boro,0.485977139
jamesburg boro,0.56755
old bridge twp,0.620901914
metuchen boro,0.594133691
middlesex boro,0.641337299
milltown boro,0.513266077
monroe twp,0.619630388
new brunswick city,0.451801344
north brunswick twp,0.496256709
perth amboy city,0.28926905
piscataway twp,0.563795715
plainsboro twp,0.672201668
