"SSN","deathCt","deathCt2015","deathCt2016","deathCt2017","deathCt2018"
"0101",12,0,5,4,3
"0102",96,10,21,30,35
"0103",12,2,3,4,3
"0104",7,2,2,1,2
"0105",13,1,3,4,5
"0106",3,0,0,1,2
"0107",11,1,2,3,5
"0108",59,6,14,18,21
"0109",0,0,0,0,0
"0110",1,0,0,1,0
"0111",46,9,16,8,13
"0112",31,8,12,3,8
"0113",30,2,9,9,10
"0114",5,1,1,1,2
"0115",2,0,2,0,0
"0116",6,2,1,1,2
"0117",12,1,4,3,4
"0118",12,4,5,0,3
"0119",25,2,5,8,10
"0120",0,0,0,0,0
"0121",15,3,3,5,4
"0122",26,2,9,5,10
"0123",5,2,0,1,2
"0201",4,0,1,1,2
"0202",2,1,1,0,0
"0203",6,2,1,1,2
"0204",2,0,1,0,1
"0205",5,1,0,4,0
"0206",13,5,3,3,2
"0207",5,2,0,0,3
"0208",1,0,0,0,1
"0209",1,1,0,0,0
"0210",7,0,1,2,4
"0211",11,1,3,2,5
"0212",7,1,1,2,3
"0213",0,0,0,0,0
"0214",3,1,0,0,2
"0215",6,1,1,2,2
"0216",1,0,0,1,0
"0217",10,1,3,4,2
"0218",4,1,3,0,0
"0219",12,3,4,2,3
"0220",3,1,1,1,0
"0221",26,5,3,6,12
"0222",3,1,1,1,0
"0223",22,4,1,7,10
"0224",2,0,0,1,1
"0225",3,1,0,0,2
"0226",1,1,0,0,0
"0227",2,0,2,0,0
"0228",0,0,0,0,0
"0229",0,0,0,0,0
"0230",8,0,3,4,1
"0231",12,2,7,2,1
"0232",19,3,4,3,9
"0233",6,1,3,0,2
"0234",5,1,0,2,2
"0235",1,0,0,0,1
"0236",0,0,0,0,0
"0237",2,0,0,1,1
"0238",7,1,0,3,3
"0239",10,0,3,3,4
"0240",3,1,1,1,0
"0241",1,1,0,0,0
"0242",5,0,1,2,2
"0243",0,0,0,0,0
"0244",3,0,1,2,0
"0245",7,0,2,4,1
"0246",9,2,2,1,4
"0247",3,1,1,1,0
"0248",5,0,2,2,1
"0249",2,0,1,0,1
"0250",8,3,1,1,3
"0251",1,0,0,0,1
"0252",2,1,1,0,0
"0253",4,1,1,1,1
"0254",3,1,0,2,0
"0255",0,0,0,0,0
"0256",9,2,2,3,2
"0257",9,2,0,5,2
"0258",2,0,1,0,1
"0259",1,0,0,1,0
"0260",10,4,2,4,0
"0261",2,0,1,1,0
"0262",0,0,0,0,0
"0263",2,1,1,0,0
"0264",1,1,0,0,0
"0265",10,1,2,4,3
"0266",3,1,0,1,1
"0267",7,2,1,2,2
"0268",1,1,0,0,0
"0269",4,0,0,1,3
"0270",4,2,0,1,1
"0301",1,0,0,0,1
"0302",10,1,3,6,0
"0303",3,0,2,0,1
"0304",7,2,1,3,1
"0305",21,6,1,7,7
"0306",12,1,1,5,5
"0307",1,1,0,0,0
"0308",8,0,1,2,5
"0309",6,1,1,3,1
"0310",16,1,2,3,10
"0311",2,1,0,0,1
"0312",8,2,1,2,3
"0313",28,8,3,13,4
"0314",0,0,0,0,0
"0315",10,4,0,1,5
"0316",8,2,2,1,3
"0317",11,4,4,2,1
"0318",8,1,0,3,4
"0319",22,4,3,7,8
"0320",14,1,7,2,4
"0321",0,0,0,0,0
"0322",9,1,2,2,4
"0323",24,5,4,10,5
"0324",30,5,4,12,9
